number,address,description 
1004963,4702 47TH AVE NE,Inspections shows violations of Housing Code and zoning code.
1004962,4702 47TH AVE NE,Inspections shows violations of Housing Code and zoning code.
1004961,4747 12TH AVE NE,Duplex
1004960,4751 12TH AVE NE,Single family structure
1004959,422 MALDEN AVE E,Fire damaged house open to entry.
1004958,9109 23RD AVE NE,"inspection shows fence on both sides of easement 6ft high, blocks vision of oncoming traffic in the sight triangle. zoning code violation."
1004957,4414 46TH AVE SW,Violation of Weed & vegetation Ordinance/overgrowth.
1004956,533 N 83RD ST,No Displacement Certificate
1004955,2315 15TH AVE S,Observed Land Use Code violation.
1004954,1101 30TH AVE S,"Observed newly construct fence more than 6' high,veg over sidewk; pics."
1004953,2722 NE 90TH ST,BLF-4/7/05- reinspection shows two vehicles in req. front yard.Land Use Code violation.
1004952,6314 15TH AVE NE,Violation of the housing code.
1004951,7733 16TH AVE NW,observed zoning violation
1004950,3601 WEST MARGINAL WAY SW,"Building code violations resolved under Permit 6080472 (includes electrical, use and occupancy issues). Final inspection approved 12/12/05."
1004949,822 S HENDERSON ST,"Talked with owner, worker is living in camper one more week while doing remodel on property. I gave 2 wk warning to 4/26/05."
1004948,6019 32ND AVE S,junk storage
1004947,213 27TH AVE S,Observed several housing violations.
1004946,8414 8TH AVE S,Open to entry & weather.
1004945,5418 25TH AVE SW,Violation of HBMC.
1004944,156 NW 84TH ST,BUILDING STRUCTURE LARGER THAN 120 SQUARE FEET IN REAR YARD--NEEDS PERMIT
1004943,8020 27TH AVE NW,REBUILT FRONT PORCH IS HIGHER THAN 18 INCHES AND NEEDS A PERMIT
1004942,5512 17TH AVE NE,"Inspection shows maroon , Legacy/Subaru Lc.#334 NFH parked in required front yard. Land Use violation."
1004941,3320 31ST AVE SW,open to entry.
1004940,422 MALDEN AVE E,Burned single family structure
1004939,9225 ASHWORTH AVE N,Application for a Tenant Relocation License
1004938,6515 15TH AVE NE,Failure to pay emergency relocation assistance pursuant to SMC Section 22.206.260.
1004937,1415 NW BALLARD WAY,PERMIT #734737 EXPIRED W/O INSPECTION--FAILED TO REMOVE DEBRIS FROM DONSTRUCTION SITE
1004936,1707 VALENTINE PL S,Permit 6063868 was issued 2/23/11 and received final approval 3/9/11 for work originally performed without a permit & inspections.
1004935,4114 E MADISON ST,REMODELED COMMERCIAL SPACE W/O PERMIT
1004934,4217 UNIVERSITY WAY NE,early morning inspection shows lights from radio shack store shine into windows of condo at 4235 Brooklyn Ave NE. Land Use Code violation.
1004933,2932 MAYFAIR AVE N,Just Cause Eviction complaint
1004932,1321 NE 66TH ST,Failure to pay emergency relocation assistance pursuant to SMC Section 22.206.260.
1004931,5808 8TH AVE NE,inspection shows stack of used lumber in required side yard. Land use violation.
1004930,5014 15TH AVE NE,Failure to pay emergency relocation assistance pursuant to SMC Section 22.206.260.
1004929,3525 SW KENYON ST,Violation of the Seattle Building Code found: structural alteration to a home requires a permit from DPD. Excavation requires permit and 1st Ground Disturbance inspection. Stop Work Order posted 4/8/05.
1004928,4828 35TH AVE SW,Alledged violation of the Just Cause Eviction Ordinance
1004927,715 29TH AVE E,"Various housing complaints, fireplace, walls, doors, electrical, windows, exterior, Citation: lack of security lights, handrails, locks Zoning/Land Use - illegal dwelling unit at rear of property"
1004926,715 29TH AVE E,"Various housing complaints, fireplace, walls, doors, electrical, windows, exterior, lack of security lights, handrails, locks"
1004925,715 29TH AVE E,"Various housing complaints, fireplace, walls, doors, electrical, windows, exterior, lack of security lights, handrails, locks"
1004924,4801 RAINIER AVE S,Observed Land Use Code Violation.
1004923,4605 SW MONROE ST,Minor outdoor junk- paper.
1004922,2925 E MADISON ST,Sidewalk at rear of property along Dewey Pl E is overgrown - workers are currently clearing the sidewalk and MGR says other neighbors will participate in clean up.
1004921,306 SUMMIT AVE E,Open to entry with outdoor storage.
1004920,5243 21ST AVE S,Observed Land Use code violation.
1004919,7041 DELRIDGE WAY SW,Open to entry with outdoor storage & deterioration.
1004918,6314 15TH AVE NE,Violation of the housing code.
1004917,2201 WALNUT AVE SW,Vacant and open house
1004916,423 FEDERAL AVE E,Application for a Tenant Relocation License
1004915,6515 16TH AVE NE,No Power Violation Of Housing Code. there has not been an attempt to restore as of this date
1004914,1700 14TH AVE,Application for a Tenant Relocation License
1004913,9236 3RD AVE NW,RETAINING WALL HIGHER THAN 4 FEET REQUIRES PERMIT
1004912,1323 E PINE ST,CONTRACTOR AGREED TO GET PERMIT FOR INTERIOR REMODEL
1004911,3700 SW HILL ST,single family
1004910,3700 SW HILL ST,Single Family
1004909,3202 SW AVALON WAY,16 unit apartment building
1004908,6501 3RD AVE NW,OBSERVED VIOLATION OF THE SEATTLE BUILDING AND MAINTENANCE CODE.
1004907,4702 47TH AVE NE,Inspections shows violations of Housing Code and Zoning code.
1004906,316 ALASKAN WAY S,Merrill Place parking garage is allowing owner of El Terrazzo Carmine to use a handicapped parking spot as a reserved spot for his use.  The attendent is not allowing customers to use the disabled parking stalls as required.
1004905,4817 45TH AVE S,"Violation of the Seattle Building Code and State Environmental Policy Act (SEPA) found: removing trees & vegetation, constructing a gazebo in a Steep Slope Environmentally Critical Area (ECA) requires permit(s) from DPD."
1004904,5113 S CRESTON ST,Open to entry.
1004903,6315 46TH AVE SW,"photos 4/5. Small shed in req'd side yard, south side."
1004902,7509 24TH AVE NE,Inspection shows a large commercial cargo container in the rear/side yard. No car in front yard at time of inspection. Land Use Code violation.
1004901,9401 42ND AVE NE,Application for Tenant Relocation License.  Total units: 1; total units occupied: 1. Demolition.
1004900,9103 8TH AVE S,"Violation of the Seattle Building Code found: 2nd floor deck, rear deck with new partial roof and interior alterations require permit from DPD. Stop Work Order posted 4/5/05."
1004899,1920 E JOHN ST,"Four vehicles are parked in the required front yard of the property. White Volvo with flat and low tires; white Grand Prix sedan, owner says not currently running;and silver gray Bentley front end up on jack, back tires vvvblocked, parked for several years. Dark blue or black Van - parked in driveway. There is also no curb cut to access property."
1004898,920 13TH AVE,No Displacement Certificate
1004897,1424 NW 62ND ST,Application for Tenant Relocation License
1004896,1703 E UNION ST,
1004895,2717 S NORMAN ST,"Observed one inop vehicle (flat tire)in front yard, some junk."
1004894,9215 22ND AVE SW,Unfinished siongle family house
1004893,1614 AURORA AVE N,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (ILLEGAL PARKING ON VACANT LOT).
1004892,1622 AURORA AVE N,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (ILLEGAL PARKING ON VACANT LOT).TOOK PHOTOS
1004891,1802 7TH AVE W,COVER EXPOSED SOIL WITH STRAW OR PLASTIC TO PREVENT EROSION
1004890,6509 40TH AVE SW,Violation of the Seattle Building Code found: work being done without a permit. Stop Work Order posted 3/29/05.
1004889,6507 40TH AVE SW,Violation of the Seatlle Building and Land Use Codes found: deck in required rear yard and basement ADU requires a permit from DPD.  Work under Permit 746612 was covered without required building inspections from DPD.
1004888,3925 S CLOVERDALE ST,3925 G/Violation found: grading in an Potential Slide Enviromentally Critical Area (ECA) and Potential Wetland ECA requires a permit from DPD. Temporary erosion control required.
1004887,225 27TH AVE E,"Replace baseboard heater in bathroom; repair, leaking and ill-fitting bathroom window, , replace tiles around faucets in bathtub, caulk bathtub enclosure; finish toilet repair, and caulk base of toilet,Repair windows in both bedrooms, clean window track in LR window; repair unsecured ceiling fan LR; provide coverings to ceiling light fixtures; seal space between cabinets and floor in kitchen."
1004886,920 13TH AVE,Issuance of an Owner's Certification of Occupancy or No Displacement
1004885,311 27TH AVE,"Observed discarded cans, bottles and trash on vacant property."
1004884,832 37TH AVE E,Issuance of an Owner's Certification of Occupancy or No Displacement
1004883,3925 S CLOVERDALE ST,3925 F/Violation found: grading in an Potential Slide Enviromentally Critical Area (ECA) and Potential Wetland ECA requires a permit from DPD. Temporary erosion control required.
1004882,3925 S CLOVERDALE ST,3925 E/Violation found: grading in an Potential Slide Enviromentally Critical Area (ECA) and Potential Wetland ECA requires a permit from DPD. Temporary erosion control required.
1004881,757 BROADWAY E,NEW DORMER REQUIRES PERMIT
1004880,3925 S CLOVERDALE ST,3925 D/Violation found: grading in an Potential Slide Enviromentally Critical Area (ECA) and Potential Wetland ECA requires a permit from DPD. Temporary erosion control required.
1004879,1442 NW 63RD ST,Condo Conversion Advisory inspection
1004856,9716 LINDEN AVE N,"Inspected 3.31.05, parking violation noted."
1004878,3835 35TH AVE W,"SPOKE TO MARSHA, (206) 764-6540, AND WAS TOLD SHE HAS THREE CHICKENS, TWO DOGS AND ONE CAT ON PREMISES."
1004877,2500 BEACON AVE S,TEMPORARY SIGNS MUST GET PERMITS OR BE REMOVED
1004876,6515 16TH AVE NE,No Power Violation Of Housing Code
1004875,1715 18TH AVE,Application for a tenant relocation license
1004874,5336 8TH AVE NE,Inspection shows grey buick in front yard. land use violation.
1004873,3451 24TH AVE W,2 LARGE ROCKS THAT WERE POSITIONED AT TOP OF 12 FOOT ROCKERY HAVE COLLAPSED ONTO SIDEWALK-- NEED GEOTECHNICAL ENGINEER TO EVALUATE
1004872,1857 NE RAVENNA BLVD,"inspection shows boxes, plywood, salvage materials,etc.on northwest side of building.land use violation."
1004871,2822 NW 61ST ST,Application for Tenant Relocation License
1004870,3833 45TH AVE SW,Violation of the Land Use Code.
1004869,8310 38TH AVE S,JUNK STORAGE AND PARKING
1004868,5505 S WALLACE ST,"rear wndw. open to entry, broken wndw. in front."
1004867,5126 S ROXBURY ST,parking
1004866,1412 N 35TH ST,2 vehicles stored in yard.
1004865,1412 N 35TH ST,"Garage & house open to entry, outdoor storage."
1004863,4624 42ND AVE S,Observed violation of weeds and vegetation ordinance
1004862,1318 NE 65TH ST,Inspected 3/23/05. Housing violations noted.
1004861,1318 NE 65TH ST,Inspected 3/23/05. Housing violations noted.
1004860,8856 20TH AVE SW,15 cars parked on lot
1004859,10547 2ND AVE NW,Three dilapidated structures
1004858,8848 20TH AVE SW,Cars parked in required front yard.
1004857,1716 SW THISTLE ST,Large metal container in side yard
1004855,4413 S ROSE ST,junk storage
1004854,7517 27TH AVE NE,NEW 8 FOOT RETAINING WALL AND ADDITION REQUIRE PERMIT
1004853,5522 ROOSEVELT WAY NE,DEMOLITION OF HOUSE REQUIRES PERMIT
1004852,6937 M L KING JR WAY S,Single Family
1004851,4315 13TH AVE S,Observed land use code violation
1004850,5405 WEST MARGINAL WAY SW,Bldg. open to entry.
1004849,10611 59TH AVE S,parking violation
1004848,4201 NE 115TH ST,Observed property--will research.
1004847,4951 NE LAURELCREST LN,Solid concrete wall blocks shoreline view from adjacent residence.
1004846,2012 23RD AVE S,Open to entry & weather with outdoor storage.
1004845,824 S SULLIVAN ST,ii & photos & disc with tenant. Gave 2 wk warning prior to citation. Outdoor junk & parking violations.
1004844,5819 45TH AVE NE,DECK AND OTHER STRUCTURAL WORK REQUIRE PERMITS
1004843,2361 S BAYVIEW ST,Vehicle stored in front yard.
1004842,2361 S BAYVIEW ST,"Enclosed porch open, outdoor storage, some deterioration."
1004841,9221 22ND AVE SW,"Vacant lot #4, junk storage of salvaged materials, warning sent, due 4/10/05."
1004840,10022 14TH AVE NW,NO JUNK STORAGE OBSERVED. RESEARCH REQUIRED TO VERIFY IF VEHICLES ARE PARKED IN REQUIRED FRONT YARD. TOOK PHOTOS
1004839,6702 SYCAMORE AVE NW,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (JUNK STORAGE IN YARD).
1004838,9412 14TH AVE SW,Photos of 17 pheasants in pens on property.
1004837,2925 E MADISON ST,BEAM REPLACEMENT ON PILES NEEDS PERMIT
1004836,441 27TH AVE E,PERMITS NEEDED FOR REMODEL AND ROOF DECK ON GARAGE
1004835,2359 N 62ND ST,Housing violations noted.
1004834,2359 N 62ND ST,Housing violations noted.
1004833,5750 35TH AVE NE,"One vehicle in driveway, did see worn areas on grass where cars have parked, complainant says it's weekends and evening/morning parking, sometimes 5 or 6 vehicles. Zoning code violation."
1004832,9542 13TH AVE NW,PERMITS ARE NEEDED FOR ADDITION--STOP WORK POSTED
1004831,8227 CORLISS AVE N,NEW DORMER ON WEST SIDE OF HOUSE REQUIRES PERMIT
1004830,311 27TH AVE,"Observed discarded cans, bottles and trash on vacant property."
1004829,5252 19TH AVE NE,Inspection shows a tv and a truck between the two garages.Zoning Code violation.
1004828,1403 NE 65TH ST,Failure to pay emergency relocation assistance pursuant to SMC Section 22.206.260.
1004827,1419 22ND AVE,Deteriorated single family sructure
1004826,4732 20TH AVE NE,Requested action for unfit buildings
1004825,6418 BROOKLYN AVE NE,Failure to pay emergency relocation assistance pursuant to SMC Section 22.206.260
1004824,8826 31ST AVE SW,Parking in req'd front and side yard violations; also structure in req'd side yd violation & outdoor junk storage. Warning to 4/17/05.
1004822,5405 WEST MARGINAL WAY SW,Issuance of an Owner's Certification of Occupancy or No Displacement
1004821,7108 CALIFORNIA AVE SW,Issuance of an Owner's Certification of Occupancy or No Displacement
1004820,705 30TH AVE,Observed several housing violations;interior and common areas.Tk photos.
1004818,3839 EVANSTON AVE N,Tenant Relocation License Application
1004817,1106 TAYLOR AVE N,Application for a Tenant Relocation License
1004816,135 NW 85TH ST,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (JUNK STORAGE IN YARDS).
1004815,2425 W CROCKETT ST,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (JUNK STORAGE IN YARDS). TOOK PHOTOS. RESEARCH REQUIRED TO VERIFY IF OFF-STREET PARKING WAS REMOVED. TWO VEHICLES OBSERVED IN YARD. CHEVY VAN LIC#731-RVR AND FORD VAN LIC
1004814,108 NW 84TH ST,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (STRUCTURE IN FRONT YARD).
1004813,3601 WEST MARGINAL WAY SW,Violation of Weed & Vegetation Ordinance.
1004812,4505 42ND AVE SW,Violation of Weed & Vegetation Ordinace.
1004811,5946 39TH AVE SW,Violation of Weed & Vegetation Ordinance.
1004810,3770 SW GRAYSON ST,Violation of Weed & Vegetation Ordinance.
1004809,2837 SW DAKOTA ST,Violation of Land Use Code.
1004808,4141 CALIFORNIA AVE SW,Violation of the Land Use Code.
1004807,4212 NE 110TH ST,observed zoning violation
1004806,3604 61ST AVE SW,Violation of Land Use Code.
1004805,7716 31ST AVE SW,Major junk storage issue & 5 vehicles. Sent 2 wk warning to 4/10 with photos.
1004804,7545 34TH AVE SW,Violation of Land Use Code.
1004803,7944 13TH AVE SW,inops and other outdoor junk; repeat.
1004802,6968 24TH AVE SW,7 vehicles & junk storage.
1004801,5115 S LEO ST,junk storage
1004800,326 N 125TH ST,OBSERVED ZONING VIOLATION
1004799,7301 AURORA AVE N,Alledged violation of the Housing and Building Maintenance Code
1004798,10024 9TH AVE NW,VERIFIED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE.
1004797,3213 E YESLER WAY,"Discarded junk, trash in front yard."
1004796,3302 NE 60TH ST,"inspection shows all yard areas full of outdoor storage, paint cans, caulk tubes, old wood, planting materials, ladders, one inop.,bikes, and other misc. junk storage and debris. zoning code violation."
1004795,817 E BLAINE ST,CUTTING TREES ON STEEP SLOPE ECA REQUIRES PERMIT
1004794,5031 11TH AVE NE,REMODEL REQUIRES CONSTRUCTION AND CHANGE OF USE PERMITS
1004771,2600 E FIR ST,SIGN PERMIT IS REQUIRED
1004793,1718 NOB HILL AVE N,OBSERVED ADDITIONAL VIOLATIONS OF THE SEATTLE HOUSING AND BUILDING MAINTENANCE CODE (MISSING HANDRAIL; LESS THAN 6'6HEADROOM ON INTERIOR BASEMENT STAIRS; DOUBLE CYLINDER LOCK ON EXTERIOR KITCHEN DOOR.
1004792,3223 CLAREMONT AVE S,Observed land use code violation
1004790,12533 PHINNEY AVE N,observed zoning violation
1004789,14027 PALATINE AVE N,observed zoning violation
1004788,4724 DELRIDGE WAY SW,Violation of Weed & Vegetation Ordinance.
1004787,1139 35TH AVE,Permit 749406 issued 3/30/05.
1004786,1804 N 57TH ST,BUILDING PERMIT REQUIRED
1004785,2359 N 62ND ST,BUILDING PERMIT REQUIRED
1004784,10915 ALTON AVE NE,shed built in north side yard aonong setback violation
1004783,5012 20TH AVE NE,inspection shows a blue honda parked on the required front yard.Land use violation.
1004782,165 17TH AVE,"Observed several housing violations,NOV will be issued."
1004781,7735 17TH AVE SW,Violation of the Seattle Building Code found: addition in the rear yard requires permits from DPD. Stop Work Order posted 3/16/05.
1004780,5443 23RD AVE SW,Violation of Land Use Code.
1004779,8423 TILLICUM RD SW,Violation of Land Use Code.
1004778,507 20TH AVE E,"Bldg & garage open, deterioration & outdoor storage."
1004777,2101 W RUFFNER ST,Issuance of an Owner's Certification of Occupancy or Not Displacement
1004776,1920 DEXTER AVE N,"inspection shows 2 glaring lights, one on east side and one on the south side. zoning violation."
1004775,4620 NE 107TH ST,Unpermitted outdoor storage.
1004774,10318 STONE AVE N,zoning violaton observed
1004773,4547 19TH AVE NE,Housing violations noted.
1004772,4547 19TH AVE NE,Housing violations noted.
1004770,1212 N 107TH ST,"5/24 discussed w/Clay and Tom, stipulation and agreement- initial inspection to familiarize self and discuss case w/Bob Clark- site mananger 914-6500"
1004768,1002 W NICKERSON ST,observed housing and zoning violations
1004767,2602 35TH AVE W,drain line/cement/tire front yard. Toyata Celica #594MWJ - inoperable in required yard
1004766,2600 NE 125TH ST,"inspection shows outdoor storage of toilets , furniture, shopping carts,and other debris. Left my card. Manager called and says he is going through a water conservation program and it should be done the end of March."
1004765,13503 37TH AVE NE,"inspection shows auto parts in rear yard, compl.says 5 vehicles, observed 3 parked legally at time of inspection."
1004764,12706 25TH AVE NE,Unpermitted outdoor storage.
1004763,7002 29TH AVE NE,Vegetation violation
1004762,13003 3RD AVE NW,Vegetation violation
1004761,128 LAKE WASHINGTON BLVD,"Violation of vegetation, overgrowing sidewalk."
1004760,3938 S ORCAS ST,hbmc violation
1004759,3938 S ORCAS ST,hbmc violation
1004758,,No Displacement Certification for TRAO
1004757,,No Displacement Certification for TRAO
1004756,,No Displacement Certification
1004755,4400 WOODLAND PARK AVE N,Housing violations noted.
1004754,2415 S NORMAN ST,Observed Land Use code violation
1004753,9401 AURORA AVE N,2 couches and household items observed
1004752,3104 HARRIS PL S,garbage bags full of discarded or salvaged items in side yard
1004751,5232 40TH AVE W,STOP WORK UNTIL PERMIT IS ISSUED
1004750,1700 SW HOLDEN ST,Violation of the Seattle Building Code found: deck in side yard with a new door requires a permit from DPD.
1004749,5049 RENTON AVE S,"Violation of the Stormwater, Grading and Drainage Control Code (SGDCC) found: making a vertical cut greater than 10 feet along the south property line requires a grading permit from DPD. Stop Work Order posted 3/16/05."
1004748,1423 10TH AVE,COMMERCIAL TENANT IMPROVEMENTS NEED ELECTRICAL AND BUILDING PERMITS
1004747,7352 58TH AVE NE,CONSTRUCTING A SERIES OF TERRACED ROCKERIES AND STEPS DOWN A STEEP SLOPE ECA W/O PERMIT
1004746,2918 1ST AVE S,Observed gravelled parking lot with parking stalls identified by plastic chain strung through plastic posts with numerals on them.  Approx 34 stalls.  Diamond lot w/small sign indicating a Company T property.
1004745,5628 DELRIDGE WAY SW,Violation of the Land Use Code.
1004744,7713 RAINIER AVE S,illegal use
1004743,7368 58TH AVE NE,MORE THAN 750 SQUARE FEET OF TREE AND VEGETATION REMOVAL IN STEEP SLOPE ECA NEEDS PERMIT
1004742,739 N 72ND ST,OBSERVED ZONING VIOLATIONS
1004741,9817 35TH AVE SW,"inspection 3/15/05: Observed violations of the HBMC, photos taken."
1004740,302 NW 67TH ST,Wndws. open to entry & weather.
1004739,5626 DELRIDGE WAY SW,Violation of the Land Use Code.
1004738,2440 W COMMODORE WAY,Replacing planking on dock w/o shoreline exemption approval.
1004737,4235 LEARY WAY NW,Application for Tenant Relocation License
1004736,6529 32ND AVE NE,"NEW CONSTRUCTION REQUIRES BUILDING, ELECTRICAL AND PLUMBING PERMITS"
1004735,846 NE 97TH ST,COVER PILES OF DIRT WITH PLASTIC--INTALL SILT FENCE--CONSTRUCT ENTRANCE TO SITE
1004734,7003 MARY AVE NW,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING (VIOLATION OF HOME OCCUPATION STANDARDS)
1004733,6708 S 116TH PL,parking
1004732,2523 ROYAL CT E,"Observe several electrical violations, problems with insulation around front door and LR door; some windows had cracked panes, and need insulation; evidence of rodents in kitchen appliance; doors in LR and basement door do not close properly.  Several light fixtures either don't work or need fixture covers."
1004731,1101 NE BOAT ST,Concrete riprap stacked below OHWM (minor bulkheading).
1004730,14314 GREENWOOD AVE N,observed zoning violation
1004729,7368 58TH AVE NE,GRADING MORE THAN 25 CUBIC YARDS IN ECA STEEP SLOPE REQUIRES PERMIT
1004728,4754 19TH AVE NE,inspection shows several housing code violations.
1004727,3718 E JEFFERSON ST,Violation of the Seattle Building Code found: interior remodel including structural work and new exterior walls requires a permit from DPD. Plumbing work also requires permit. Stop Work Order posted 3/14/05.
1004726,12026 33RD AVE NE,Issuance of an Owner's Certification of Occupancy or No Displacemnt
1004725,1321 NE 66TH ST,No approved source of Electricity
1004724,2856 NW 72ND ST,CONSTRUCTION OF STRUCTURE IN FRONT YARD REQUIRES PERMIT
1004723,10044 65TH AVE S,Violation of the Seattle Building Code found: building an addition and remodeling a house requires a permit from DPD. Stop Work Order posted 3/14/05.
1004722,1641 15TH AVE W,Violation of Land Use  Code.
1004721,8309 WOLCOTT AVE S,Violation of the Seattle Building Code: rebuilding fire damaged house (includin new roof framing) requires a permit from DPD. Stop Work Order posted 3/14/05.
1004720,1504 NE 107TH ST,Vegetation overgrowth.
1004719,4715 8TH AVE NE,Application for a Tenant Relocation License
1004718,2523 ROYAL CT E,"Observe several electrical violations, problems with insulation around front door and LR door; some windows had cracked panes, and need insulation; evidence of rodents in kitchen appliance; doors in LR and basement door do not close properly.  Several light fixture either don't work or need fixture covers."
1004717,761 S HOMER ST,Garage is falling down
1004716,7758 16TH AVE SW,Citation violation of outdoor junk storage. Previous violations in 1998 & 2001.
1004715,10049 35TH AVE SW,"Twelve vehs on property, including inops & parking in req'd yd."
1004714,10535 23RD AVE NE,Outdoor storage of signs.
1004713,9718 45TH AVE NE,FRONT YARD TRELLIS/ARBOR REQUIRES PERMIT
1004712,2039 NW 60TH ST,"OBSERVED VIOLATION OF THE SEATTLE HOUSING AND BUILDING MAINTENANCE CODE.(MISSING SMOKE DETECTOR IN BASEMENT CORRIDOR, PADLOCK AND HASP ON SLEEPING ROOM DOOR)."
1004711,4019 NE 92ND ST,Tree and vegetation removal are below permit thresholds.
1004710,2115 8TH AVE N,Application for a Tenant Relocation License
1004709,7748 16TH AVE SW,"3/4 inspection: Vehicles being worked on & parking violations, 6 vehicles and pking in req'd yard; outdoor junk storage of veh parts, maintenance equipment & inoperable vehicles ."
1004708,1617 BOYER AVE E,Observed narrow road w/limited passing area - no violation if vehicles maintain passing distance and wait for other vehicles to pass.  vegetation is on steep slope on south side of Boyer towards corner.  Geo-tech says OK to cut - need S-DOT input regarding safety of anyone selected to cut this vegetation.
1004707,1742 NE NAOMI PL,Vegetation violation noted.
1004706,7608 FREMONT AVE N,Vegetation violation noted.
1004705,2812 PATTEN PL W,Vegetation violation noted.
1004704,7184 SYLVAN WAY SW,"Violations of HBMC in single family residence use and of zoning violations, zone is C1-40."
1004703,2826 PATTEN PL W,Vegetation violation
1004702,1302 QUEEN ANNE AVE N,FOUR LARGE TREES WERE CUT W/O PERMIT ON A STEEP SLOPE DESIGNATED ECA
1004701,11011 GOODWIN WAY NE,Vegetation violation noted.
1004700,7735 17TH AVE SW,initial inspec & photos. Outdoor junk storage huge piles of salvaged construction materials. Big addition to principal structure ongoing. No permits. Aerial GIS photos from 1999 & 2002 show no addition.
1004699,818 23RD AVE,2 vehicles stored in rear yard.
1004698,5505 S WALLACE ST,5 vehicles stored in yard.
1004697,4036 7TH AVE NE,inspection shows 2 vehicles parked in required front setback. check permits and ownership
1004696,4030 7TH AVE NE,inspection shows 4 vehicles parked in required front setback - check permits and plans.
1004695,5505 S WALLACE ST,"rear wndw. open to entry, broken wndw. in front."
1004694,1321 NE 66TH ST,No electricity
1004693,8601 WALLINGFORD AVE N,observed zoning violation
1004692,4633 43RD AVE S,Observed land use code violation
1004691,8822 36TH AVE S,parking
1004690,3903 MERIDIAN AVE N,GARAGE CONSTRUCTION REQUIRES PERMIT
1004689,702 N 128TH ST,"Inspected 3/10/05, zoning violation noted."
1004688,4338 LATONA AVE NE,INSPECTOR SAW EVIDENCE OF ONGOING CONSTRUCTION--BUILDING MATERIALS AND EQUIPMENT--TOLD WORKER TO GET PERMIT
1004687,123 S JACKSON ST,Condo conversion advisory inspection:7 res. units.  1 commercial space at ground level will become commercial condo; but not part of advisory inspection.
1004686,7987 46TH AVE S,junk storage
1004685,6550 32ND AVE SW,"Temporary Erosion & Sedimentation Controls (TESC) are per Permit 748967, issued 3/9/05 and finaled 3/20/06."
1004684,3233 BELVIDERE AVE SW,Violation of Land Use Code.
1004683,6714 ALONZO AVE NW,Application for Tenant Relocation License
1004682,5724 S BANGOR ST,Application for Tenant Relocation License
1004681,6722 14TH AVE NW,Application for Tenant Relocation Assistance
1004680,7223 WEST GREEN LAKE DR N,housing violations observed
1004679,349 N 105TH ST,RECONSTRUCTING EXISTING CARPORT INTO GARAGE--PERMIT NEEDED
1004678,529 19TH AVE,Violation of the Seattle Building Code found: work being done on accessory structure requires permit.
1004677,10500 51ST AVE S,hbmc violations
1004676,817 23RD AVE,"Observed open ditch in driveway,sewage leak from side sewer.Took photos."
1004675,914 NW 85TH ST,Bsmt. wndws. missing & outdoor storage. permit#748909
1004674,3319 17TH AVE S,LU violation
1004673,4108 21ST AVE SW,Garage falling down
1004672,2822 BOYER AVE E,"REMODEL REQUIRES PERMITS--BUILDING,ELECTRICAL,PLUMBING--STOP WORK POSTED"
1004671,8851 13TH AVE SW,Broken wndws. & outdoor storage.
1004670,3005 S WASHINGTON ST,Bsmt. wndw. unsecured.
1004669,5419 RENTON AVE S,Observed lu code violation
1004668,10236 36TH AVE SW,Parking more than 3 vehicles
1004667,2039 NW 60TH ST,OBSERVED VIOLATION OF THE SEATTLE HOUSING AND BUILDING MAINTENANCE CODE.(IMPROPER RISERS ON FRONT AND REAR BUILDING ENTRANCE STAIRS).
1004666,6720 18TH AVE SW,Parking - More than 3 vehicles
1004665,9209 3RD AVE NW,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (TRUCK PARKED ON SF5000 LOT THAT DOES NOT HAVE A  LEGALLY ESTABLISHED PRINCIPAL USE.) TOOK PHOTO.
1004664,9209 3RD AVE NW,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (TRUCK PARKED ON SF5000 LOT THAT DOES NOT HAVE A  LEGALLY ESTABLISHED PRINCIPAL USE.) TOOK PHOTO.
1004663,516 E HARRISON ST,Observed vegetation violation; overgrowg alley. Took photos.
1004662,1966 THORNDYKE AVE W,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (TRUCK CANOPY IN YARD) TOOK PHOTO.
1004661,6515 15TH AVE NE,Lack of approved power source.
1004660,1210 E HOWELL ST,Observed vegetation overgrowth into the public sidewalk and street right of way on E Howell St.
1004659,1818 SW DAWSON ST,Violation of the Land Use Code.
1004658,264 NE 45TH ST,observed vegetation violation
1004657,1929 46TH AVE SW,Minor Violation of Weed & Vegetation Ordinance.
1004656,1923 46TH AVE SW,Violation of Weed & Vegetation ordinance.
1004655,9852 ARROWSMITH AVE S,illegal unit
1004654,616 N 62ND ST,inspection shows commercial GMC truck in carport and bookshelves stored outside in carport. zoning code violation.
1004653,6937 M L KING JR WAY S,4 apartment buildings
