id,Action Type,Work Type,Value,Location_id 
45848,NEW,Plan Review,$300000.00,
45849,ADD/ALT,Plan Review,$5000.00,
45850,ADD/ALT,Plan Review,$0.00,
45851,ADD/ALT,Plan Review,$0.00,
45852,ADD/ALT,Plan Review,$0.00,
45853,ADD/ALT,Plan Review,$89203.00,
45854,ADD/ALT,Plan Review,$0.00,
45855,ADD/ALT,Plan Review,$0.00,
45856,ADD/ALT,Plan Review,$0.00,
45857,,Plan Review,$0.00,
45858,,Plan Review,$0.00,
45859,ADD/ALT,Plan Review,$0.00,
45860,,Plan Review,$0.00,
45861,ADD/ALT,Plan Review,$0.00,
45862,,Plan Review,$0.00,
45863,,Plan Review,$0.00,
45864,,Plan Review,$0.00,
45865,ADD/ALT,Plan Review,$0.00,
45866,ADD/ALT,Plan Review,$0.00,
45867,ADD/ALT,Plan Review,$0.00,
45868,ADD/ALT,Plan Review,$0.00,
45869,DEMOLITION,No plan review,$0.00,
45870,ADD/ALT,No plan review,$400000.00,
45871,ADD/ALT,Plan Review,$0.00,
45872,NEW,Plan Review,$0.00,
45873,,Plan Review,$0.00,
45874,ADD/ALT,Plan Review,$0.00,
45875,ADD/ALT,Plan Review,$0.00,
45876,,Plan Review,$0.00,
45877,,Plan Review,$0.00,
45878,ADD/ALT,Plan Review,$0.00,
45879,ADD/ALT,Plan Review,$0.00,
45880,GRADING,Plan Review,$0.00,
45881,NEW,Plan Review,$0.00,
45882,DEMOLITION,No plan review,$0.00,
45883,,Plan Review,$0.00,
45884,,Plan Review,$0.00,
45885,NEW,Plan Review,$0.00,
45886,,Plan Review,$0.00,
45887,ADD/ALT,Plan Review,$0.00,
45888,ADD/ALT,Plan Review,$0.00,
45889,,Plan Review,$0.00,
45890,ADD/ALT,Plan Review,$0.00,
45891,NEW,Plan Review,$0.00,
45892,NO CONSTRUCTION,Plan Review,$0.00,
45893,,Plan Review,$0.00,
45894,DEMOLITION,Plan Review,$0.00,
45895,,No plan review,$0.00,
45896,NEW,Plan Review,$0.00,
45897,NEW,Plan Review,$0.00,
45898,ADD/ALT,Plan Review,$0.00,
45899,,Plan Review,$0.00,
45900,ADD/ALT,Plan Review,$0.00,
45901,,Plan Review,$0.00,
45902,DEMOLITION,Plan Review,$0.00,
45903,NEW,Plan Review,$41066596.00,
45904,ADD/ALT,Plan Review,$0.00,
45905,ADD/ALT,Plan Review,$0.00,
45906,ADD/ALT,Plan Review,$0.00,
45907,ADD/ALT,No plan review,$0.00,
45908,ADD/ALT,Plan Review,$50000.00,
45909,NEW,Plan Review,$0.00,
45910,ADD/ALT,Plan Review,$0.00,
45911,ADD/ALT,Plan Review,$0.00,
45912,ADD/ALT,Plan Review,$0.00,
45913,,Plan Review,$0.00,
45914,ADD/ALT,Plan Review,$0.00,
45915,ADD/ALT,Plan Review,$0.00,
45916,NO CONSTRUCTION,Plan Review,$1.00,
45917,NEW,Plan Review,$0.00,
45918,ADD/ALT,Plan Review,$0.00,
45919,ADD/ALT,Plan Review,$0.00,
45920,ADD/ALT,Plan Review,$0.00,
45921,NEW,Plan Review,$0.00,
45922,GRADING,Plan Review,$0.00,
45923,ADD/ALT,Plan Review,$0.00,
45924,,Plan Review,$0.00,
45925,,Plan Review,$0.00,
45926,NEW,Plan Review,$0.00,
45927,NEW,Plan Review,$0.00,
45928,NEW,Plan Review,$5149402.00,
45929,ADD/ALT,Plan Review,$0.00,
45930,ADD/ALT,Plan Review,$0.00,
45931,ADD/ALT,Plan Review,$0.00,
45932,NEW,Plan Review,$0.00,
45933,NEW,Plan Review,$0.00,
45934,ADD/ALT,Plan Review,$0.00,
45935,,Plan Review,$0.00,
45936,ADD/ALT,Plan Review,$0.00,
45937,ADD/ALT,Plan Review,$0.00,
45938,ADD/ALT,Plan Review,$0.00,
45939,ADD/ALT,Plan Review,$0.00,
45940,,Plan Review,$0.00,
45941,,Plan Review,$0.00,
45942,ADD/ALT,Plan Review,$0.00,
45943,ADD/ALT,Plan Review,$0.00,
45944,ADD/ALT,Plan Review,$0.00,
45945,ADD/ALT,Plan Review,$0.00,
45946,ADD/ALT,Plan Review,$0.00,
45947,NEW,Plan Review,$0.00,
45948,,Plan Review,$0.00,
45949,,Plan Review,$0.00,
45950,ADD/ALT,Plan Review,$0.00,
45951,ADD/ALT,Plan Review,$0.00,
45952,ADD/ALT,Plan Review,$0.00,
45953,DEMOLITION,Plan Review,$0.00,
45954,DEMOLITION,No plan review,$0.00,
45955,ADD/ALT,Plan Review,$0.00,
45956,,Plan Review,$0.00,
45957,,Plan Review,$0.00,
45958,SITE MONITORING ONLY,No plan review,$1100000.00,
45959,ADD/ALT,Plan Review,$0.00,
45960,NEW,Plan Review,$0.00,
45961,,Plan Review,$0.00,
45962,NEW,Plan Review,$341623.00,
45963,NEW,Plan Review,$0.00,
45964,NEW,Plan Review,$0.00,
45965,GRADING,Plan Review,$0.00,
45966,,Plan Review,$0.00,
45967,NEW,Plan Review,$0.00,
45968,NEW,Plan Review,$0.00,
45969,NEW,Plan Review,$0.00,
45970,ADD/ALT,Plan Review,$0.00,
45971,,Plan Review,$0.00,
45972,,Plan Review,$0.00,
45973,ADD/ALT,No plan review,$0.00,
45974,,Plan Review,$0.00,
45975,,Plan Review,$0.00,
45976,ADD/ALT,Plan Review,$0.00,
45977,,Plan Review,$0.00,
45978,,Plan Review,$0.00,
45979,ADD/ALT,Plan Review,$4500.00,
45980,ADD/ALT,Plan Review,$0.00,
45981,,Plan Review,$0.00,
45982,,Plan Review,$0.00,
45983,ADD/ALT,No plan review,$0.00,
45984,NEW,Plan Review,$0.00,
45985,ADD/ALT,Plan Review,$0.00,
45986,ADD/ALT,Plan Review,$0.00,
45987,NEW,Plan Review,$0.00,
45988,ADD/ALT,Plan Review,$0.00,
45989,,Plan Review,$0.00,
45990,ADD/ALT,Plan Review,$0.00,
45991,,No plan review,$0.00,
45992,ADD/ALT,Plan Review,$0.00,
45993,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
45994,,Plan Review,$0.00,
45995,,Plan Review,$0.00,
45996,ADD/ALT,Plan Review,$0.00,
45997,ADD/ALT,Plan Review,$0.00,
45998,ADD/ALT,Plan Review,$0.00,
45999,ADD/ALT,Plan Review,$52000.00,
46000,ADD/ALT,Plan Review,$0.00,
46001,,Plan Review,$0.00,
46002,NEW,Plan Review,$0.00,
46003,ADD/ALT,Plan Review,$0.00,
46004,ADD/ALT,Plan Review,$0.00,
46005,ADD/ALT,Plan Review,$0.00,
46006,ADD/ALT,Plan Review,$0.00,
46007,,Plan Review,$0.00,
46008,ADD/ALT,Plan Review,$0.00,
46009,ADD/ALT,Plan Review,$0.00,
46010,,Plan Review,$0.00,
46011,ADD/ALT,Plan Review,$0.00,
46012,DEMOLITION,No plan review,$121875.00,
46013,,Plan Review,$0.00,
46014,,Plan Review,$0.00,
46015,,Plan Review,$0.00,
46016,ADD/ALT,Plan Review,$0.00,
46017,ADD/ALT,Plan Review,$0.00,
46018,ADD/ALT,Plan Review,$0.00,
46019,ADD/ALT,Plan Review,$0.00,
46020,ADD/ALT,No plan review,$0.00,
46021,ADD/ALT,Plan Review,$70000.00,
46022,NEW,Plan Review,$0.00,
46023,NEW,Plan Review,$0.00,
46024,TREE/VEGETATION MAINT/RESTORE,Plan Review,$0.00,
46025,NEW,Plan Review,$0.00,
46026,ADD/ALT,Plan Review,$0.00,
46027,ADD/ALT,Plan Review,$0.00,
46028,,Plan Review,$0.00,
46029,,Plan Review,$0.00,
46030,,Plan Review,$0.00,
46031,,Plan Review,$0.00,
46032,ADD/ALT,No plan review,$9200.00,
46033,,Plan Review,$0.00,
46034,NEW,Plan Review,$0.00,
46035,NEW,Plan Review,$0.00,
46036,,Plan Review,$0.00,
46037,ADD/ALT,Plan Review,$0.00,
46038,NEW,Plan Review,$0.00,
46039,,Plan Review,$0.00,
46040,NEW,Plan Review,$0.00,
46041,ADD/ALT,Plan Review,$0.00,
46042,ADD/ALT,Plan Review,$0.00,
46043,NEW,Plan Review,$0.00,
46044,DECONSTRUCTION,No plan review,$0.00,
46045,ADD/ALT,No plan review,$0.00,
46046,ADD/ALT,Plan Review,$0.00,
46047,ADD/ALT,Plan Review,$0.00,
46048,ADD/ALT,Plan Review,$0.00,
46049,NO CONSTRUCTION,Plan Review,$0.00,
46050,ADD/ALT,Plan Review,$0.00,
46051,ADD/ALT,Plan Review,$0.00,
46052,,Plan Review,$0.00,
46053,ADD/ALT,Plan Review,$0.00,
46054,ADD/ALT,Plan Review,$150000.00,
46055,ADD/ALT,Plan Review,$0.00,
46056,DEMOLITION,No plan review,$0.00,
46057,,Plan Review,$0.00,
46058,ADD/ALT,Plan Review,$0.00,
46059,ADD/ALT,Plan Review,$0.00,
46060,ADD/ALT,Plan Review,$0.00,
46061,,Plan Review,$0.00,
46062,,Plan Review,$0.00,
46063,ADD/ALT,Plan Review,$0.00,
46064,ADD/ALT,Plan Review,$0.00,
46065,ADD/ALT,Plan Review,$0.00,
46066,ADD/ALT,Plan Review,$0.00,
46067,ADD/ALT,Plan Review,$0.00,
46068,ADD/ALT,Plan Review,$0.00,
46069,ADD/ALT,Plan Review,$0.00,
46070,ADD/ALT,Plan Review,$0.00,
46071,ADD/ALT,Plan Review,$0.00,
46072,,Plan Review,$0.00,
46073,NEW,Plan Review,$0.00,
46074,ADD/ALT,No plan review,$19000.00,
46075,ADD/ALT,Plan Review,$0.00,
46076,,Plan Review,$0.00,
46077,ADD/ALT,Plan Review,$0.00,
46078,ADD/ALT,Plan Review,$0.00,
46079,ADD/ALT,Plan Review,$0.00,
46080,,Plan Review,$0.00,
46081,ADD/ALT,Plan Review,$0.00,
46082,ADD/ALT,Plan Review,$0.00,
46083,ADD/ALT,Plan Review,$0.00,
46084,,Plan Review,$0.00,
46085,ADD/ALT,Plan Review,$0.00,
46086,ADD/ALT,Plan Review,$0.00,
46087,ADD/ALT,Plan Review,$0.00,
46088,ADD/ALT,Plan Review,$0.00,
46089,ADD/ALT,Plan Review,$25000.00,
46090,ADD/ALT,Plan Review,$0.00,
46091,ADD/ALT,Plan Review,$0.00,
46092,NEW,Plan Review,$0.00,
46093,ADD/ALT,Plan Review,$0.00,
46094,ADD/ALT,Plan Review,$0.00,
46095,ADD/ALT,Plan Review,$0.00,
46096,ADD/ALT,Plan Review,$0.00,
46097,DEMOLITION,No plan review,$0.00,
46098,ADD/ALT,Plan Review,$0.00,
46099,NEW,Plan Review,$0.00,
46100,ADD/ALT,Plan Review,$53414.00,
46101,ADD/ALT,Plan Review,$0.00,
46102,DEMOLITION,No plan review,$0.00,
46103,ADD/ALT,Plan Review,$0.00,
46104,ADD/ALT,Plan Review,$0.00,
46105,ADD/ALT,Plan Review,$0.00,
46106,DEMOLITION,Plan Review,$31702586.00,
46107,DEMOLITION,Plan Review,$31702586.00,
46108,DEMOLITION,Plan Review,$31702586.00,
46109,DEMOLITION,Plan Review,$31702586.00,
46110,DEMOLITION,Plan Review,$31702586.00,
46111,DEMOLITION,Plan Review,$31702586.00,
46112,DEMOLITION,No plan review,$31702586.00,
46113,ADD/ALT,Plan Review,$0.00,
46114,ADD/ALT,No plan review,$0.00,
46115,ADD/ALT,Plan Review,$0.00,
46116,ADD/ALT,Plan Review,$0.00,
46117,ADD/ALT,Plan Review,$0.00,
46118,DEMOLITION,Plan Review,$0.00,
46119,ADD/ALT,Plan Review,$0.00,
46120,ADD/ALT,Plan Review,$0.00,
46121,DEMOLITION,No plan review,$0.00,
46122,ADD/ALT,No plan review,$7000.00,
46123,ADD/ALT,Plan Review,$0.00,
46124,ADD/ALT,Plan Review,$0.00,
46125,,Plan Review,$0.00,
46126,NEW,Plan Review,$0.00,
46127,,No plan review,$0.00,
46128,,Plan Review,$0.00,
46129,ADD/ALT,Plan Review,$0.00,
46130,TEMP,Plan Review,$0.00,
46131,ADD/ALT,Plan Review,$0.00,
46132,ADD/ALT,Plan Review,$0.00,
46133,ADD/ALT,Plan Review,$0.00,
46134,ADD/ALT,Plan Review,$0.00,
46135,DEMOLITION,Plan Review,$0.00,
46136,DEMOLITION,Plan Review,$0.00,
46137,NEW,Plan Review,$0.00,
46138,NEW,Plan Review,$94127654.00,
46139,NEW,Plan Review,$3900000.00,
46140,DEMOLITION,Plan Review,$0.00,
46141,,Plan Review,$0.00,
46142,,Plan Review,$0.00,
46143,NEW,Plan Review,$0.00,
46144,,Plan Review,$0.00,
46145,ADD/ALT,Plan Review,$0.00,
46146,,Plan Review,$0.00,
46147,,Plan Review,$0.00,
46148,NEW,Plan Review,$0.00,
46149,ADD/ALT,No plan review,$0.00,
46150,,Plan Review,$0.00,
46151,ADD/ALT,Plan Review,$0.00,
46152,ADD/ALT,Plan Review,$0.00,
46153,ADD/ALT,Plan Review,$0.00,
46154,ADD/ALT,Plan Review,$0.00,
46155,,Plan Review,$0.00,
46156,ADD/ALT,No plan review,$5000.00,
46157,NEW,Plan Review,$0.00,
46158,NEW,Plan Review,$0.00,
46159,ADD/ALT,Plan Review,$3000.00,
46160,ADD/ALT,Plan Review,$0.00,
46161,,Plan Review,$0.00,
46162,NO CONSTRUCTION,Plan Review,$0.00,
46163,NEW,Plan Review,$0.00,
46164,ADD/ALT,Plan Review,$0.00,
46165,NEW,Plan Review,$0.00,
46166,NEW,Plan Review,$0.00,
46167,,Plan Review,$0.00,
46168,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
46169,ADD/ALT,Plan Review,$0.00,
46170,ADD/ALT,Plan Review,$0.00,
46171,ADD/ALT,No plan review,$1000.00,
46172,DEMOLITION,No plan review,$0.00,
46173,DEMOLITION,No plan review,$0.00,
46174,,Plan Review,$0.00,
46175,ADD/ALT,Plan Review,$0.00,
46176,DEMOLITION,Plan Review,$0.00,
46177,ADD/ALT,Plan Review,$0.00,
46178,ADD/ALT,Plan Review,$0.00,
46179,ADD/ALT,Plan Review,$0.00,
46180,ADD/ALT,Plan Review,$0.00,
46181,NEW,Plan Review,$0.00,
46182,NEW,Plan Review,$0.00,
46183,NEW,Plan Review,$1000.00,
46184,ADD/ALT,Plan Review,$0.00,
46185,,Plan Review,$0.00,
46186,ADD/ALT,Plan Review,$0.00,
46187,ADD/ALT,Plan Review,$0.00,
46188,ADD/ALT,Plan Review,$0.00,
46189,NEW,Plan Review,$21695542.00,
46190,NEW,Plan Review,$0.00,
46191,NEW,Plan Review,$0.00,
46192,ADD/ALT,Plan Review,$1.00,
46193,ADD/ALT,Plan Review,$0.00,
46194,ADD/ALT,Plan Review,$1.00,
46195,,No plan review,$0.00,
46196,,Plan Review,$0.00,
46197,,Plan Review,$0.00,
46198,NEW,Plan Review,$0.00,
46199,,Plan Review,$0.00,
46200,ADD/ALT,Plan Review,$0.00,
46201,ADD/ALT,Plan Review,$0.00,
46202,ADD/ALT,No plan review,$0.00,
46203,,Plan Review,$0.00,
46204,ADD/ALT,Plan Review,$0.00,
46205,,Plan Review,$0.00,
46206,ADD/ALT,Plan Review,$0.00,
46207,ADD/ALT,Plan Review,$0.00,
46208,ADD/ALT,Plan Review,$0.00,
46209,NEW,Plan Review,$0.00,
46210,,Plan Review,$0.00,
46211,NEW,Plan Review,$0.00,
46212,ADD/ALT,Plan Review,$0.00,
46213,,Plan Review,$0.00,
46214,ADD/ALT,Plan Review,$0.00,
46215,,Plan Review,$0.00,
46216,,No plan review,$0.00,
46217,ADD/ALT,Plan Review,$0.00,
46218,ADD/ALT,Plan Review,$0.00,
46219,ADD/ALT,Plan Review,$8000.00,
46220,ADD/ALT,Plan Review,$0.00,
46221,ADD/ALT,Plan Review,$0.00,
46222,ADD/ALT,Plan Review,$0.00,
46223,DEMOLITION,Plan Review,$0.00,
46224,ADD/ALT,Plan Review,$0.00,
46225,ADD/ALT,Plan Review,$0.00,
46226,NEW,Plan Review,$0.00,
46227,ADD/ALT,Plan Review,$0.00,
46228,NEW,Plan Review,$0.00,
46229,ADD/ALT,Plan Review,$0.00,
46230,ADD/ALT,Plan Review,$0.00,
46231,,Plan Review,$0.00,
46232,,Plan Review,$0.00,
46233,NEW,Plan Review,$0.00,
46234,ADD/ALT,Plan Review,$0.00,
46235,,Plan Review,$0.00,
46236,NEW,Plan Review,$0.00,
46237,ADD/ALT,Plan Review,$0.00,
46238,ADD/ALT,Plan Review,$0.00,
46239,,Plan Review,$0.00,
46240,ADD/ALT,No plan review,$500.00,
46241,ADD/ALT,Plan Review,$0.00,
46242,ADD/ALT,Plan Review,$0.00,
46243,ADD/ALT,Plan Review,$0.00,
46244,ADD/ALT,Plan Review,$0.00,
46245,,Plan Review,$0.00,
46246,ADD/ALT,Plan Review,$0.00,
46247,NEW,Plan Review,$0.00,
46248,ADD/ALT,Plan Review,$0.00,
46249,ADD/ALT,Plan Review,$0.00,
46250,NEW,Plan Review,$0.00,
46251,ADD/ALT,No plan review,$0.00,
46252,GRADING,Plan Review,$0.00,
46253,ADD/ALT,Plan Review,$0.00,
46254,ADD/ALT,Plan Review,$0.00,
46255,,Plan Review,$0.00,
46256,ADD/ALT,Plan Review,$0.00,
46257,NEW,Plan Review,$0.00,
46258,ADD/ALT,Plan Review,$0.00,
46259,ADD/ALT,Plan Review,$0.00,
46260,,Plan Review,$0.00,
46261,ADD/ALT,No plan review,$40865.00,
46262,NEW,Plan Review,$0.00,
46263,ADD/ALT,No plan review,$0.00,
46264,ALTER,Plan Review,$0.00,
46265,ADD/ALT,Plan Review,$0.00,
46266,ADD/ALT,Plan Review,$0.00,
46267,ADD/ALT,Plan Review,$0.00,
46268,,Plan Review,$0.00,
46269,ADD/ALT,Plan Review,$0.00,
46270,,Plan Review,$0.00,
46271,NO CONSTRUCTION,Plan Review,$0.00,
46272,,No plan review,$0.00,
46273,ADD/ALT,Plan Review,$0.00,
46274,ADD/ALT,Plan Review,$0.00,
46275,,Plan Review,$0.00,
46276,,Plan Review,$0.00,
46277,ADD/ALT,Plan Review,$0.00,
46278,NEW,Plan Review,$0.00,
46279,,No plan review,$0.00,
46280,NEW,Plan Review,$0.00,
46281,ADD/ALT,Plan Review,$0.00,
46282,,Plan Review,$0.00,
46283,NEW,Plan Review,$0.00,
46284,NEW,Plan Review,$0.00,
46285,ADD/ALT,Plan Review,$0.00,
46286,ADD/ALT,Plan Review,$2292.00,
46287,ADD/ALT,Plan Review,$0.00,
46288,ADD/ALT,Plan Review,$0.00,
46289,NEW,Plan Review,$0.00,
46290,ADD/ALT,Plan Review,$0.00,
46291,,Plan Review,$0.00,
46292,TEMP,Plan Review,$0.00,
46293,ADD/ALT,Plan Review,$0.00,
46294,ADD/ALT,Plan Review,$0.00,
46295,ADD/ALT,Plan Review,$0.00,
46296,ADD/ALT,Plan Review,$0.00,
46297,ADD/ALT,Plan Review,$0.00,
46298,NEW,Plan Review,$0.00,
46299,NEW,Plan Review,$0.00,
46300,NEW,Plan Review,$0.00,
46301,NEW,Plan Review,$0.00,
46302,ADD/ALT,Plan Review,$0.00,
46303,ADD/ALT,Plan Review,$31000.00,
46304,NEW,Plan Review,$0.00,
46305,ADD/ALT,Plan Review,$0.00,
46306,ADD/ALT,Plan Review,$0.00,
46307,ADD/ALT,Plan Review,$0.00,
46308,ADD/ALT,Plan Review,$0.00,
46309,ADD/ALT,Plan Review,$0.00,
46310,ADD/ALT,Plan Review,$0.00,
46311,,Plan Review,$0.00,
46312,,Plan Review,$0.00,
46313,ADD/ALT,Plan Review,$0.00,
46314,ADD/ALT,Plan Review,$0.00,
46315,,Plan Review,$0.00,
46316,,Plan Review,$0.00,
46317,NEW,Plan Review,$0.00,
46318,ADD/ALT,Plan Review,$0.00,
46319,ADD/ALT,No plan review,$0.00,
46320,,Plan Review,$0.00,
46321,ADD/ALT,Plan Review,$0.00,
46322,ADD/ALT,Plan Review,$0.00,
46323,ADD/ALT,Plan Review,$0.00,
46324,ADD/ALT,Plan Review,$0.00,
46325,ADD/ALT,Plan Review,$0.00,
46326,ADD/ALT,Plan Review,$17000.00,
46327,ADD/ALT,Plan Review,$0.00,
46328,ADD/ALT,Plan Review,$0.00,
46329,ADD/ALT,Plan Review,$0.00,
46330,,Plan Review,$0.00,
46331,TREE/VEGETATION MAINT/RESTORE,Plan Review,$0.00,
46332,ADD/ALT,Plan Review,$15000.00,
46333,ADD/ALT,Plan Review,$1000.00,
46334,ADD/ALT,Plan Review,$0.00,
46335,,Plan Review,$0.00,
46336,ADD/ALT,Plan Review,$0.00,
46337,ADD/ALT,Plan Review,$0.00,
46338,ADD/ALT,Plan Review,$0.00,
46339,TEMP,Plan Review,$0.00,
46340,ADD/ALT,No plan review,$3000.00,
46341,ADD/ALT,Plan Review,$0.00,
46342,NEW,Plan Review,$0.00,
46343,ADD/ALT,Plan Review,$0.00,
46344,ADD/ALT,Plan Review,$0.00,
46345,ADD/ALT,Plan Review,$0.00,
46346,ADD/ALT,Plan Review,$0.00,
46347,,Plan Review,$0.00,
46348,ADD/ALT,Plan Review,$0.00,
46349,ADD/ALT,Plan Review,$0.00,
46350,ADD/ALT,Plan Review,$0.00,
46351,,Plan Review,$0.00,
46352,NEW,Plan Review,$0.00,
46353,NEW,Plan Review,$0.00,
46354,ADD/ALT,Plan Review,$0.00,
46355,ADD/ALT,Plan Review,$0.00,
46356,NO CONSTRUCTION,No plan review,$0.00,
46357,ADD/ALT,Plan Review,$0.00,
46358,,Plan Review,$0.00,
46359,ADD/ALT,Plan Review,$0.00,
46360,ADD/ALT,Plan Review,$0.00,
46361,ADD/ALT,Plan Review,$0.00,
46362,ADD/ALT,Plan Review,$0.00,
46363,ADD/ALT,Plan Review,$0.00,
46364,,Plan Review,$0.00,
46365,,Plan Review,$0.00,
46366,ADD/ALT,Plan Review,$0.00,
46367,,Plan Review,$0.00,
46368,ADD/ALT,Plan Review,$0.00,
46369,ADD/ALT,Plan Review,$0.00,
46370,,Plan Review,$0.00,
46371,ADD/ALT,Plan Review,$0.00,
46372,NEW,Plan Review,$0.00,
46373,NO CONSTRUCTION,Plan Review,$0.00,
46374,,Plan Review,$0.00,
46375,ADD/ALT,Plan Review,$0.00,
46376,ADD/ALT,Plan Review,$0.00,
46377,,Plan Review,$0.00,
46378,NEW,Plan Review,$0.00,
46379,,Plan Review,$0.00,
46380,NEW,Plan Review,$0.00,
46381,ADD/ALT,Plan Review,$0.00,
46382,,No plan review,$0.00,
46383,NEW,Plan Review,$0.00,
46384,NEW,Plan Review,$0.00,
46385,ADD/ALT,Plan Review,$0.00,
46386,ADD/ALT,Plan Review,$0.00,
46387,ADD/ALT,Plan Review,$0.00,
46388,,Plan Review,$0.00,
46389,ADD/ALT,Plan Review,$1000.00,
46390,ADD/ALT,Plan Review,$0.00,
46391,ADD/ALT,Plan Review,$0.00,
46392,ADD/ALT,Plan Review,$0.00,
46393,,Plan Review,$0.00,
46394,ADD/ALT,Plan Review,$0.00,
46395,ADD/ALT,Plan Review,$0.00,
46396,ADD/ALT,Plan Review,$0.00,
46397,NEW,Plan Review,$0.00,
46398,NEW,Plan Review,$0.00,
46399,NEW,Plan Review,$0.00,
46400,,Plan Review,$0.00,
46401,,Plan Review,$0.00,
46402,ADD/ALT,Plan Review,$0.00,
46403,ADD/ALT,Plan Review,$0.00,
46404,,Plan Review,$0.00,
46405,GRADING,Plan Review,$0.00,
46406,ADD/ALT,Plan Review,$0.00,
46407,NEW,Plan Review,$0.00,
46408,ADD/ALT,Plan Review,$0.00,
46409,NO CONSTRUCTION,No plan review,$0.00,
46410,,Plan Review,$0.00,
46411,NEW,Plan Review,$0.00,
46412,DEMOLITION,No plan review,$0.00,
46413,NEW,Plan Review,$0.00,
46414,ADD/ALT,Plan Review,$0.00,
46415,ADD/ALT,Plan Review,$0.00,
46416,ADD/ALT,No plan review,$500.00,
46417,ADD/ALT,Plan Review,$0.00,
46418,ADD/ALT,Plan Review,$0.00,
46419,ADD/ALT,Plan Review,$0.00,
46420,ADD/ALT,Plan Review,$0.00,
46421,ADD/ALT,Plan Review,$8373418.00,
46422,NEW,Plan Review,$0.00,
46423,NEW,Plan Review,$0.00,
46424,DEMOLITION,No plan review,$0.00,
46425,,Plan Review,$0.00,
46426,ADD/ALT,Plan Review,$0.00,
46427,,Plan Review,$0.00,
46428,ADD/ALT,Plan Review,$25000.00,
46429,ADD/ALT,Plan Review,$0.00,
46430,TEMP,Plan Review,$0.00,
46431,ADD/ALT,Plan Review,$150000.00,
46432,ADD/ALT,Plan Review,$200000.00,
46433,,Plan Review,$0.00,
46434,ADD/ALT,Plan Review,$0.00,
46435,DEMOLITION,No plan review,$0.00,
46436,,Plan Review,$0.00,
46437,ADD/ALT,Plan Review,$0.00,
46438,,Plan Review,$0.00,
46439,ADD/ALT,Plan Review,$0.00,
46440,NEW,Plan Review,$0.00,
46441,NO CONSTRUCTION,Plan Review,$0.00,
46442,ADD/ALT,Plan Review,$0.00,
46443,NEW,Plan Review,$0.00,
46444,ADD/ALT,Plan Review,$0.00,
46445,ADD/ALT,Plan Review,$0.00,
46446,SHORELINE EXEMPTION ONLY,Plan Review,$0.00,
46447,,Plan Review,$0.00,
46448,ADD/ALT,Plan Review,$0.00,
46449,ADD/ALT,Plan Review,$0.00,
46450,ADD/ALT,Plan Review,$0.00,
46451,ADD/ALT,Plan Review,$0.00,
46452,GRADING,Plan Review,$0.00,
46453,NEW,Plan Review,$0.00,
46454,ADD/ALT,Plan Review,$0.00,
46455,ADD/ALT,Plan Review,$0.00,
46456,NEW,Plan Review,$0.00,
46457,,Plan Review,$0.00,
46458,,Plan Review,$0.00,
46459,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
46460,NEW,Plan Review,$0.00,
46461,ADD/ALT,Plan Review,$0.00,
46462,ADD/ALT,No plan review,$20000.00,
46463,ADD/ALT,Plan Review,$0.00,
46464,NO CONSTRUCTION,Plan Review,$0.00,
46465,ADD/ALT,Plan Review,$0.00,
46466,ADD/ALT,Plan Review,$0.00,
46467,ADD/ALT,Plan Review,$0.00,
46468,,Plan Review,$0.00,
46469,ADD/ALT,Plan Review,$0.00,
46470,ADD/ALT,Plan Review,$0.00,
46471,ADD/ALT,No plan review,$1000.00,
46472,NO CONSTRUCTION,No plan review,$0.00,
46473,,Plan Review,$0.00,
46474,DEMOLITION,No plan review,$0.00,
46475,,Plan Review,$0.00,
46476,,Plan Review,$0.00,
46477,,Plan Review,$0.00,
46478,ADD/ALT,Plan Review,$0.00,
46479,,Plan Review,$0.00,
46480,,Plan Review,$0.00,
46481,ADD/ALT,Plan Review,$0.00,
46482,NEW,Plan Review,$0.00,
46483,NEW,Plan Review,$0.00,
46484,,Plan Review,$0.00,
46485,ADD/ALT,Plan Review,$0.00,
46486,,No plan review,$4200.00,
46487,ADD/ALT,Plan Review,$0.00,
46488,ADD/ALT,Plan Review,$0.00,
46489,NEW,Plan Review,$0.00,
46490,NEW,Plan Review,$0.00,
46491,ADD/ALT,Plan Review,$0.00,
46492,,Plan Review,$0.00,
46493,ADD/ALT,Plan Review,$0.00,
46494,ADD/ALT,Plan Review,$0.00,
46495,NEW,Plan Review,$0.00,
46496,ADD/ALT,Plan Review,$0.00,
46497,ADD/ALT,Plan Review,$0.00,
46498,ADD/ALT,Plan Review,$100000.00,
46499,,Plan Review,$0.00,
46500,,Plan Review,$0.00,
46501,ADD/ALT,Plan Review,$0.00,
46502,ADD/ALT,Plan Review,$0.00,
46503,GRADING,Plan Review,$0.00,
46504,NEW,Plan Review,$0.00,
46505,,Plan Review,$0.00,
46506,NEW,Plan Review,$0.00,
46507,NEW,Plan Review,$0.00,
46508,ADD/ALT,Plan Review,$0.00,
46509,ADD/ALT,Plan Review,$80000.00,
46510,ADD/ALT,Plan Review,$0.00,
46511,ADD/ALT,Plan Review,$0.00,
46512,ADD/ALT,Plan Review,$0.00,
46513,ADD/ALT,Plan Review,$0.00,
