id,case_type,description,case_group
23766,CITATION,Violation of the Weed & Veg Ord.,WEEDS AND VEGETATION
23767,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License. Total units: 3; total units occupied: 2. Demolition.,
23768,CITATION,Violation of the Land Use & Zoning Code.,ZONING
23769,TENANT RELOCATION ORDINANCE,Issuance of Owner's Certification of Occupancy or No Displacement.,
23770,HOUSING / ZONING,HBMC violation,HOUSING
23771,CITATION,Violation of the Land Use & Zoning code.,ZONING
23772,CITATION,Violation of the Land Use & Zoning Code.,ZONING
23773,CITATION,outdoor junk storage in SF,ZONING
23774,CONSTRUCTION,MORE THAN 500 CUBIC YARDS OF MATERIAL IS BEING STOCKPILED ON SITE--EITHER OBTAIN A GRADING PERMIT OR REMOVE THE MATERIAL,SITE
23775,CITATION,Weeds and Vegetation Ordinance Violation,WEEDS AND VEGETATION
23776,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License. Total units: 9; total units occupied: 8. Demolition.,
23777,HOUSING / ZONING,Violation of Just Cause Eviction Ordinance.,JUST CAUSE EVICTION
23778,HOUSING / ZONING,"Inspected property, observed violation of Housing Building and Maintenance Code.",HOUSING
23779,HOUSING / ZONING,Foundation piling placed approximately 5' waterward of the shoreline setback line.,ZONING
23780,CONSTRUCTION,INSPECTOR UNABLE TO GAIN ENTRY--LEFT DOOR TAG ASKING THAT OWNER CALL HIM,BUILDING
23781,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk along S MEAD ST.,WEEDS AND VEGETATION
23782,CITATION,Weeds and Vegetation Ordinance Violation,WEEDS AND VEGETATION
23783,CITATION,Weeds and Vegetation Ordinance Violation,WEEDS AND VEGETATION
23784,HOUSING / ZONING,OBSERVED VIOLATION OF THE SEATTLE WEEDS AND VEGETATION ORDINANCE (OVERGROWTH OBSTRUCTING SIDEWALK ALONG SMCCLELLAN ST),HOUSING
23785,CITATION,JR inspected the property and observed junk storage on the planting strip.,ZONING
23786,CITATION,Land Use Code Violation,ZONING
23787,CITATION,Outdoor storage and an inop vehicle.,ZONING
23788,CITATION,Land Use Code Violation,ZONING
23789,CITATION,Vegetation impacting the alley.,WEEDS AND VEGETATION
23790,HOUSING / ZONING,Deck/overhang sagging.,HOUSING
23791,HOUSING / ZONING,"OBSERVED VIOLATION OF THE SEATTLE HOUSING AND BUILDING MAINTENANCE CODE (LATER LEAKING IN FAUCET, INOPERABLE SMOKE DETECTOR AND OTHER VIOLATIONS).",HOUSING
23792,CONSTRUCTION,Permit 6153935 was issued 9/26/07 and received final approval 2/6/08 for work originally started without a permit and inspections.,BUILDING
23793,CITATION,Vegetation over sidewalk.,WEEDS AND VEGETATION
23794,CITATION,Vegetation over sidewalk.,WEEDS AND VEGETATION
23795,CITATION,Land Use Code Violation,ZONING
23796,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk along Fauntleroy Way SW.,WEEDS AND VEGETATION
23797,CONSTRUCTION,MORE THAN 14 TREES WERE CUT--WORK IS NOT PER PLAN FOR PROJECT #3006057,SITE
23798,CONSTRUCTION,MORE THAN 14 TREES HAVE BEEN REMOVED--NOT PER PLAN FOR PROJECT #3006060,SITE
23799,CITATION,Inspection shows vegetation encroaching onto the sidewalk and blocking stop sign.  Weeds ord. violation.,WEEDS AND VEGETATION
23800,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk along 33RD AVE S.,WEEDS AND VEGETATION
23801,CITATION,Inspection shows vegetation encroaching onto the sidewalk.  Weeds ord. violation.,WEEDS AND VEGETATION
23802,CITATION,Inspection shows vegetation encroaching onto the sidewalk.  Weeds ord. violation.,WEEDS AND VEGETATION
23803,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk along 33RD AVE S.,WEEDS AND VEGETATION
23804,CONSTRUCTION,STOP WORK POSTED--WORK EXCEEDS WHAT IS PERMITTED UNDER STFI PERMIT #6149628--REMOVE EXCAVATED SOIL FROM ALLEY AND OBTAIN SITE INSPECTION,BUILDING
23805,HOUSING / ZONING,Violation of Just Cause Eviction Ordinance.,JUST CAUSE EVICTION
23806,HOUSING / ZONING,water heater HMBC violations,HOUSING
23807,CITATION,Vegetation impacting the sidewalk.,WEEDS AND VEGETATION
23808,CITATION,Land Use Code Violation,ZONING
23809,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 1; total units occupied: 1.  Substantial rehabilitation.,
23810,CITATION,Weeds and Vegetation Ordinance Violation,WEEDS AND VEGETATION
23811,CITATION,Land Use Code Violation,ZONING
23812,CITATION,KB inspected property and Land Use violation exists - Illegal Business - needs to attain permit for Use.,ZONING
23813,CITATION,Land Use Code Violation,ZONING
23814,CITATION,"Inspected property, observed violation of Land Use Code.",ZONING
23815,UNFIT BUILDING OR PREMISES,requested abatement,HOUSING
23816,CONSTRUCTION,INSPECTOR REQUESTED REVISED PLANS FOR PERMIT #6133072,BUILDING
23817,CONSTRUCTION,STOP WORK POSTED--PERMIT REQUIRED FOR KITCHEN ADDITION,BUILDING
23818,HOUSING / ZONING,"Inspection shows two kitchens in Single family residence, the number of occupants living in home equal 7.",HOUSING
23819,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the side walk along S Angeline ST.,WEEDS AND VEGETATION
23820,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the side walk along S. Dawson St.,WEEDS AND VEGETATION
23821,CITATION,"Inspected property, observed violation of Land Use Code. Parking in required front yard.PR",ZONING
23822,HOUSING / ZONING,shipping container w/o permit,ZONING
23823,CITATION,JR inspected the property and observed a junk storage violation.,ZONING
23824,CONSTRUCTION,Free standing structure (fireplace) in front yard has been lowered to 6' in height & permit revisions to 6094881 submitted to & approved by DPD reflecting work performed. Final inspection approved 7/9/08 for Permit 6094881.,BUILDING
23825,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the alley to the west of the property.,WEEDS AND VEGETATION
23826,CONSTRUCTION,Permit 6097009 was issued on 5/24/07.  This active permit in conjunction with 6097012 (8328 46th Ave SW) has been renewed several times.  Closing case administratively after consultation with Vic Simpson and based on permit inspection history.,SITE
23827,CITATION,"Violation of Land Use- Outdoor junk storage including but not limited to salvaged lumbers, tarps, window frames, plastic buckets, canopy in driveway; wood panels, appliance, boxes and other misc items in front yard.",ZONING
23828,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 1; total units occupied: 1.  Demolition.,
23829,HOUSING / ZONING,"House & garage unsecured; deterioration, junk stg. & veg. overgrowth.",VACANT BUILDING
23830,CONSTRUCTION,VEGETATION HAS BEEN REMOVED FROM STEEP SLOPE ECA--REPLANTING PLAN AND RESTORATION IS REQUIRED,SITE
23831,HOUSING / ZONING,"House, garage & shed unsecured; some junk & veg. overgrowth",VACANT BUILDING
23832,HOUSING / ZONING,Land Use Code Violation,ZONING
23833,CITATION,Land Use Code Violation,ZONING
23834,CONSTRUCTION,BUILDING PERMIT REQUIRED FOR RETAINING WALL,BUILDING
23835,HOUSING / ZONING,Light and glare violation.,ZONING
23836,CONSTRUCTION,THE SHED WAS EXISTING AT THE TIME THE OWNERS BOUGHT THE PROPERTY--NO PERMIT WILL BE REQUIRED AT THIS TIME FOR THE EXISTING SHED,SITE
23837,HOUSING / ZONING,Inspection shows half on the apartment has no electricty.,HOUSING
23838,CITATION,Land Use Code Violation,ZONING
23839,CITATION,"OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE(METAL FENCE MATERIAL, GAS CANS, SCRAP WOOD PLUMBING FIXTURE  AND OTHER JUNK STORAGE NEXT TO DRIVEWAY).",ZONING
23840,HOUSING / ZONING,Violation of the Just Cause Eviction Ordinance,JUST CAUSE EVICTION
23841,HOUSING / ZONING,Violation of the Just Cause Eviction Ordinance,JUST CAUSE EVICTION
23842,CONDO CONVERSION AND PRESALE,"condo conversion- 1 bldg, 9 units total",CONDO/COOP CONVERSION
23843,HOUSING / ZONING,Secure; junk stg. in rear lot; veg. over sidewalk.,VACANT BUILDING
23844,HOUSING / ZONING,Violation of Land Use & Zoning Code/permit conditions.,ZONING
23845,CONDO CONVERSION AND PRESALE,Condo Conversion.,CONDO/COOP CONVERSION
23846,HOUSING / ZONING,Open to entry & weather; veg. overgrowth,VACANT BUILDING
23847,HOUSING / ZONING,KB inspected unit and Housing Code violations exist.,HOUSING
23848,HOUSING / ZONING,Open to entry with junk stg.,VACANT BUILDING
23849,HOUSING / ZONING,Original SR had an incorrect address of 2321  S. Holgate St.  Open to entry; fire damaged with outdoor storage.,VACANT BUILDING
23850,HOUSING / ZONING,Excessive dog barking SMC 23.47A.039.,ZONING
23851,CONSTRUCTION,OBTAIN PERMITS FROM DPD AND SDOT FOR RETAINING WALL,BUILDING
23852,CONSTRUCTION,INSTALL PIN PILES PER GEOTECH'S INSTRUCTIONS FOR TEMPORARY FIX--OBTAIN PERMIT TO PERMANENTLY REPAIR RETAINING WALL,BUILDING
23853,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalks along BEACON AVE S and 59TH AVE S,WEEDS AND VEGETATION
23854,CITATION,"JR inspected the property and observed weeds and/or vegetation obstructing the sidewalks along 8TH AVE NE, NE 43RD ST.",WEEDS AND VEGETATION
23855,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk along LATONA AVE NE.,WEEDS AND VEGETATION
23856,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalks along NW 45th and 4th AVE NW.,WEEDS AND VEGETATION
23857,CITATION,Violation of Land Use Code- Home Occupation- Auto detail business.,ZONING
23858,CITATION,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (VEHICLE IN REQUIRED FRONT YARD AND SCRAP WOOD IN YARD.TOOK PHOTOS,ZONING
23859,CONSTRUCTION,THREE TREES WITH A DIAMETER OF MORE THAN 6 INCHES HAVE BEEN TOPPED IN A STEEP SLOPE AND LANDSLIDE PRONE ECA--REPLANTING PLAN REQUIRED,SITE
23860,CITATION,"OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE(TWO VEHICLES MISSING TIRES, SCRAP WOOD AND OTHER MATERIALS IN YARD).",ZONING
23861,HOUSING / ZONING,2 broken windows on front wall; open to entry.  Access limited by locked fence gates.,VACANT BUILDING
23862,HOUSING / ZONING,Violation of the Land Use & Zoning Code,ZONING
23863,CITATION,Violation of the Land Use & Zoning Code.,ZONING
23864,CITATION,Violation for the Land Use & Zoning Code.,ZONING
23865,CITATION,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (DISCARDED FURNITURE AND DEBRIS IN YARDS).,ZONING
23866,VACANT BUILDING MONITORING,unsecured shed; outdoor storage & veg. overgrowth.,VACANT BUILDING
23867,CITATION,Violation of the Land Use & Zoning Code,ZONING
23868,CITATION,Inspection shows vegetation encroaching onto the sidewalk and inoperable vehicle on the property. Zoing violation,ZONING
23869,HOUSING / ZONING,Violations of HBMC,HOUSING
23870,CITATION,Inspection shows outdoor junk storage such as but limited to old television.  Zoning violation,ZONING
23871,VACANT BUILDING MONITORING,Open to entry via doors & windows; outdoor storage; deterioration; vehicle.,VACANT BUILDING
23872,HOUSING / ZONING,Vehicle stored in yard.,ZONING
23873,VACANT BUILDING MONITORING,bldg. unsecured; veg. overgrowth; may be remodeling.,VACANT BUILDING
23874,HOUSING / ZONING,2 vehicles stored in rear yard at alley.,VACANT BUILDING
23875,VACANT BUILDING MONITORING,Garage unsecured; outdoor storage; veg. overgrowth; 4 vehicle  being stored in driveway.,VACANT BUILDING
23876,HOUSING / ZONING,4 vehicle  being stored in driveway.,ZONING
23877,HOUSING / ZONING,bldg. open to entry; access limited by fenced site.,VACANT BUILDING
23878,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk.,WEEDS AND VEGETATION
23879,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk.,WEEDS AND VEGETATION
23880,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk.,WEEDS AND VEGETATION
23881,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk.,WEEDS AND VEGETATION
23882,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk.,WEEDS AND VEGETATION
23883,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk.,WEEDS AND VEGETATION
23884,CITATION,Violation of Weeds & Veg. Ordinance- Observed low hanging tree limbs blocking the sidewalk.,WEEDS AND VEGETATION
23885,HOUSING / ZONING,JR inspected the property and observed a violation.,VACANT BUILDING
23886,CITATION,"Observed 4 vehicles one with no hood - others continuously parked in the required rear yard and in the side yard set back - possibly inoperable.  Wood, paper, metal shelving, containers trash and other items and debris in the rear yard.",ZONING
23887,CONSTRUCTION,PERMIT REQUIRED FOR PORCH ADDITION,BUILDING
23888,CONSTRUCTION,STOP WORK POSTED--PERMIT REQUIRED FOR REMODEL,BUILDING
23889,CONSTRUCTION,DEMOLITION PERMIT REQUIRED,BUILDING
23890,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk along  beacon ave s.,WEEDS AND VEGETATION
23891,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk along  beacon ave s.,WEEDS AND VEGETATION
23892,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk.,WEEDS AND VEGETATION
23893,CITATION,Inspection shows laurel hedge encroaching into the sidewalk.,WEEDS AND VEGETATION
23894,CITATION,Minor Violation of the Land Use & Zoning Code.,ZONING
23895,HOUSING / ZONING,Access limited by fence; unsecured windows & doors on South wall.,VACANT BUILDING
23896,CONSTRUCTION,PERMIT MAY BE REQUIRED FOR CLEANERS SIGN--NUMBER OF BANNERS ATTACHED TO STORE MUST BE REDUCED,SIGNS
23897,HOUSING / ZONING,bldg. secure; outdoor storage & veg. overgrowth.,VACANT BUILDING
23898,CONDO CONVERSION AND PRESALE,condo conversion- 1 bldg- 6 units total,CONDO/COOP CONVERSION
23899,CITATION,"Violation of land use- outdoor junk storage including but not limited to tarp, shingles, paint bucket, plastic bucket store near sidewalk.",ZONING
23900,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License. Total units: 1; total units occupied: 1. Demolition.,
23901,CITATION,"Violation of Land Use- vacant lot- outdoor junk storage including but not limited to chair, metal frames, wood frames, trash and other debris .",ZONING
23902,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License. Total units: 2; total units occupied: 2. Demolition.,
23903,CITATION,"Violation of Land Use- Outdoor junk storage including tree limbs, troller, clothes, tarps and other debris in front yard.",ZONING
23904,CITATION,"Violation of Land Use- Parking in required front yard, trailer parked in driveway blocking sidewalk, outdoor junk storage such as shingles in driveway.",ZONING
23905,CONSTRUCTION,REMOVE SIGNS OR REDUCE AMOUNT OF TEMPORARY SIGNAGE,SIGNS
23906,CITATION,Violation of the Land Use & Zoning Code.,ZONING
23907,HOUSING / ZONING,MD and EJ inspected property and Housing Code violations are present- Emergency Condition exists.,HOUSING
23908,CITATION,Violation of the Land Use & Zoning Code,ZONING
23909,HOUSING / ZONING,Violation of Just Cause Eviction Ordinance.,JUST CAUSE EVICTION
23910,HOUSING / ZONING,All windows & doors missing; veg. overgrowth,VACANT BUILDING
23911,HOUSING / ZONING,Bsmt. entry door unsecured; outdoor storage.,VACANT BUILDING
23912,HOUSING / ZONING,"Inspected property, observed violation of Land Use Code.PR",ZONING
23913,HOUSING / ZONING,"Inspected property, observed violation of Housing Building and Maintenance Code.PR",HOUSING
23914,HOUSING / ZONING,"Inspected property, observed violation of Housing Building Maintenance Code.PR",HOUSING
23915,CONSTRUCTION,SIDE SEWER IS NOT PER PLAN FOR PERMIT #6113295--CURB WEEP HAS FAILED--REMOVE AND ROUTE TO ALLEY AS PERMITTED,SITE
23916,CITATION,"INSPECTED PROPERTY WITH OWNER, JOHN BARNHARDT PRESENT (206) 422-8668. PORTION OF SOLID FENCE IN REAR IS 9' ABOVE GRADE.",ZONING
23917,HOUSING / ZONING,"Outdoor junk storage in NC-1 zone, but not allowed",ZONING
23918,HOUSING / ZONING,Violation of Just Cause Eviction Ordinance.,JUST CAUSE EVICTION
23919,HOUSING / ZONING,Violation of Just Cause Eviction Ordinance.,JUST CAUSE EVICTION
23920,CITATION,"Inspection shows outdoor junk storage such as but not limited to blinds boxes, baskets, rubbish, tires, pallets, wood, and inoperable vehicles., blue tarps , car seats and other misc. items.  Zoning violation",ZONING
23921,HOUSING / ZONING,Illegal use of transient housing - vacation rental,ZONING
23922,HOUSING / ZONING,LU violation- maintenance of unpermitted structures (shipping containers) in NC-1 zone.,ZONING
23923,CITATION,"Violation of Land Use- outdoor junk storage, parking in required front yard, auto repair activities",ZONING
23924,CONSTRUCTION,OBTAIN SIDE SEWER PERMIT,SITE
23925,CITATION,OBSERVED VIOLATION OF THE SEATTLE WEEDS AND VEGETATION ORDINANCE (OVERGROWTH OBSTRUCTING SIDEWALKS ON S CHARLES ST AND ON 28TH AVENUE S.,WEEDS AND VEGETATION
23926,CONSTRUCTION,PLANS DO NOT SHOW THAT CARPORT IS TO BE ENCLOSED--SUBMIT REVISION AND GET APPROVAL OR REMOVE CARPORT ENCLOSURE,BUILDING
23927,CITATION,INSPECTED PROPERTY WITH OWNER PRESENT. OBSERVED GARAGE SALE SIGNS IN DRIVEWAY AND HOUSEHOLD GOODS FOR SALE. OWNER IS PREPARING HOUSE FOR SALE. REQUEST TO TAKE PHOTOS DECLINED.,ZONING
23928,CONSTRUCTION,RE-ESTABLISHE EXPIRED PERMITS--DEMOLSH EXISTING GARAGE OR AT LEAST THE PORTION BUILT W/O PERMIT,BUILDING
23929,CONDO CONVERSION AND PRESALE,condo conversion,CONDO/COOP CONVERSION
23930,CONSTRUCTION,CONSTRUCTION SIGNS AND SIGNS ADVERTISING THE FUTURE BUILDING MUST BE REMOVED OR TEMPORARY SIGN PERMITS MUST BE OBTAINED,SIGNS
23931,CITATION,"Inspected property, violation of Land Use Code observed. PR",ZONING
23932,HOUSING / ZONING,MD and EJ inspected property and Housing Code violations are present- Emergency Condition exists.,HOUSING
23933,HOUSING / ZONING,KB inspected property and Land Use violation exists-business extending into ROW.,ZONING
23934,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 2; total units occupied: 1.  Demolition.,
23935,CITATION,"Inspected property, observed violation of Land Use Code. PR",ZONING
23936,CITATION,Excessive outdoor storage.,ZONING
23937,HOUSING / ZONING,"This is a zoning case, please see case #1013298.",HOUSING
23938,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 4; total units occupied: 4.  Demolition.,
23939,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 2; total units occupied: 1.  Demolition.,
23940,CITATION,Outdoor storage.,ZONING
23941,CONSTRUCTION,STOP WORK POSTED--PERMIT REQUIRED FOR REPAIR OF EXISTING STRUCTURE AND NEW ADDITION,BUILDING
23942,CITATION,Outdoor storage and vegetation impacting the sidewalk.,ZONING
23943,HOUSING / ZONING,"Violation of Land Use- Outdoor junk storage including a pile of salvaged lumbers, bags of garbage and other items at south side of the property.",ZONING
23944,CONSTRUCTION,SOME CLEARING AND POSSIBLE DRAINING OF WETLAND--LOOKS LIKE IT IS IN UNDEVELOPED RIGHT OF WAY,SITE
23945,CITATION,Outdoor storage.,ZONING
23946,CITATION,A structure built in the required front yard.,ZONING
23947,CITATION,Inspection shows vegetation encroaching onto the sidewalk.,WEEDS AND VEGETATION
23948,CITATION,Inspection shows vegetation encroaching onto the sidewalk.,ZONING
23949,CITATION,Inspection shows vegetation encroaching onto the sidewalk.,ZONING
23950,HOUSING / ZONING,Violation of land Use- Illegal dwelling unit in second level.,ZONING
23951,CONSTRUCTION,REMOVE RETAINING WALL AND RESTORE THE AREA WITH A REPLANTING PLAN,SITE
23952,HOUSING / ZONING,Violation of Land Use- Permit conditions. Fail to satisfy the street dedication requirements.,ZONING
23953,CITATION,Violation of the Land Use & Zoning Code.,ZONING
23954,CITATION,Violation of the Land Use & Zoning Code,ZONING
23955,CITATION,Violation of the Land Use & Zoning Code,ZONING
23956,CITATION,Violation of Land Use & Zoning Code.,ZONING
23957,CITATION,Violation of the Land Use & Zoning Code,ZONING
23958,CITATION,Viuolation of the Land Use & Zoning Code,ZONING
23959,CITATION,"Inspection shows inoperable vehicles and outdoor junk storage such as but not limited to dryer, computer monitor, vacuum cleaner,buckets and other misc items.  Zoning violation",ZONING
23960,CONSTRUCTION,Permit 6148167 was issued on 10/16/07 for work originally started without a permit.,BUILDING
23961,CONSTRUCTION,Permit 6151745 was issued 8/27/07 for construction of a carport that was originally started without a permit.,BUILDING
23962,CONSTRUCTION,Permits 6151113 & 6151109 were issued on 8/22/07 for work originally started without permits.,BUILDING
23963,HOUSING / ZONING,Violation of the Just Cause Eviction Ordinance.,JUST CAUSE EVICTION
23964,HOUSING / ZONING,HBMC Violations,HOUSING
23965,CITATION,Zoning Code Violation,ZONING
23966,CONSTRUCTION,PERMIT REQUIRED FOR NEW GARAGE,BUILDING
23967,CITATION,"Inspected property, violation of Weeds and Vegetation Ordinance observed.PR",WEEDS AND VEGETATION
23968,CONSTRUCTION,CLEAN ALLEY AND STREET --INSTALL EROSION CONTROL MEEASURES,SITE
23969,CONSTRUCTION,PERMIT REQUIRED FOR REMODELING GARAGE--STOP WORK POSTED,BUILDING
23970,HOUSING / ZONING,"Inspected property, observed violation of Land Use Code. Parking in required front yard.PR",ZONING
23971,CITATION,junk storage,ZONING
23972,HOUSING / ZONING,JR inspected the property and observed an ADU in SF zone.,ZONING
23973,CITATION,JR inspected the property and observed a violation of the land use code (junk storage).,ZONING
23974,CITATION,JR inspected the property and observed a violation of the land use code (junk storage).,ZONING
23975,CONSTRUCTION,PERMIT REQUIRED FOR ESPRESSO SIGN,SIGNS
23976,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the side walk along wilson avenue S and 54th avenue s.,WEEDS AND VEGETATION
23977,CITATION,Violation of weeds & veg ord,WEEDS AND VEGETATION
23978,CITATION,Violation of weeds & veg ordinance,WEEDS AND VEGETATION
23979,CITATION,Violation of weeds & veg ord,WEEDS AND VEGETATION
23980,CITATION,Violation of weeds & veg ordinance,WEEDS AND VEGETATION
23981,CITATION,Violation of weeds & veg ord,WEEDS AND VEGETATION
23982,CITATION,Violation of weeds & vegetation ord.,WEEDS AND VEGETATION
23983,HOUSING / ZONING,"Inspected property, observed violation of Land Use Code. Permitted for walk up only.PR",ZONING
23984,CONSTRUCTION,INSPECTOR IS WORKING WITH SPU ON RESOLUTION--SIDE SEWER PERMIT IS NEEDED,SITE
23985,CITATION,Vegetation blocking drivers view turning onto Boyer.,WEEDS AND VEGETATION
23986,HOUSING / ZONING,HBMC Violation,HOUSING
23987,CITATION,Outdoor storage in front and rear of house.,ZONING
23988,CITATION,Violation of weed & veg ord,WEEDS AND VEGETATION
23989,HOUSING / ZONING,OBSERVED VIOLATION OF THE SEATTLE WEEDS AND VEGETATION ORDINANCE (OVERGROWTH OBSTRUCTING PUBLIC USE OF SIDEWALK ALONG E. UNION ST.,HOUSING
23990,CITATION,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (AUTO TIRES AND SCRAP WOOD IN YARD0 tOOK PHOTO.,ZONING
23991,CITATION,Violation of weeds & veg ord,WEEDS AND VEGETATION
23992,CITATION,"OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (AUTO TIRE,TV AND OTHER JUNK STORAGE IN YARD) TOOK PHOTO.",ZONING
23993,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk along S Ryan Street.,WEEDS AND VEGETATION
23994,CITATION,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE(SCRAP WOOD AND HOUSEHOLD GOODS ON PORCH AND IN YARDS). TOOK PHOTOS.,ZONING
23995,HOUSING / ZONING,OBSERVED VIOLATION OF THE WEEDS AND VEGETATION ORDINANCE (OVERGROWTH OBSTRUCTING PUBLIC USE OF THE ALLEY). TOOK PHOTOS.,HOUSING
23996,HOUSING / ZONING,Inoperable vehicles & junk storage,ZONING
23997,HOUSING / ZONING,Junk in yard,ZONING
23998,UNFIT BUILDING OR PREMISES,Unfit Building.,BUILDING AND PREMISES
23999,CONDO CONVERSION AND PRESALE,Condo Conversion.,CONDO/COOP CONVERSION
24000,HOUSING / ZONING,Junk strewn about.  See photos from inspection.,ZONING
24001,CONSTRUCTION,Removing trees in a Steep Slope ECA requires approval from DPD.,SITE
24002,CONSTRUCTION,Remodeling a former furniture store into a restaurant (Alacatraz Authentic Mexican Food) requires permits and inspections from King Co. & DPD. STOP WORK ORDER issued 8/16/07.,BUILDING
24003,UNFIT BUILDING OR PREMISES,unfit building,BUILDING AND PREMISES
24004,CITATION,"Inspected property, observed violation of Weeds and Vegetation Ordinance.",WEEDS AND VEGETATION
24005,HOUSING / ZONING,House secure but not garage; some junk & veg. overgrowth.,VACANT BUILDING
24006,CITATION,"Inspected property, observed violation of Weeds and Vegetation Ordinance.",WEEDS AND VEGETATION
24007,CONSTRUCTION,TESC (Temporary Erosion & Sedimentation Control) is per Permit 6104066. STOP WORK ORDER removed 8/21/07.,SITE
24008,CITATION,"Inspected property, observed violation of Weeds and Vegetation Ordinance.",WEEDS AND VEGETATION
24009,HOUSING / ZONING,"Inspected property, violation of Housing Building and Maintenance observed. Issuing a 48hr Emergency Order to repair leak.PR",HOUSING
24010,HOUSING / ZONING,OBSERVED VIOLATION OF THE SEATTLE WEEDS AND VEGETATION ORDINANCE (OVER GROWTH OBSTRUCTING PUBLIC USE OF THE ALLEY),HOUSING
24011,CITATION,Viol of Weed & Veg Ordinance,WEEDS AND VEGETATION
24012,HOUSING / ZONING,Minor Violation of HBMC,HOUSING
24013,CITATION,Violation of the Weed & Veg Ordinance,WEEDS AND VEGETATION
24014,HOUSING / ZONING,Inspection shows four inoperable vehicles. Zoning violation,ZONING
24015,HOUSING / ZONING,No Water,HOUSING
24016,CITATION,Violation of the Weed & Veg Ordinance,WEEDS AND VEGETATION
24017,CITATION,Violation of the Weed & Veg Ordinance.,WEEDS AND VEGETATION
24018,HOUSING / ZONING,OBSERVED EVIDENCE OF HOUSING CODE VIOLATION(RAW SEWAGE AROUND NORTH SEWER LINE.,HOUSING
24019,TENANT RELOCATION ORDINANCE,Issuance of an Owner's Certification of Occupancy or No Displacemnt,
24020,TENANT RELOCATION ORDINANCE,Issuance of an Owner's Certification of Occupancy or No Displacement,
24021,HOUSING / ZONING,HBMC Violation,HOUSING
24022,CITATION,Violation of Weed & Veg Ordinance,WEEDS AND VEGETATION
24023,CITATION,Violation of the Weed & Veg Ordinance,WEEDS AND VEGETATION
24024,CONSTRUCTION,PERMIT REQUIRED FOR BASEMENT REMODEL,BUILDING
24025,CITATION,Violation of Weed & Veg Ordinance.,WEEDS AND VEGETATION
24026,CONSTRUCTION,PERMIT REQUIRED FOR TOTAL BUILD OUT OF 1ST AND 2ND FLOOR--NEW ROOF TRUSSES TO REPLACE FLAT ROOF--NO STFI,BUILDING
24027,CITATION,Violation of the Weed & Veg Ordinance.,WEEDS AND VEGETATION
24028,CITATION,Inspection shows outdoor junk storage and possible up to 6 dogs according to Animal Control.  Zoning violation.,ZONING
24029,CITATION,"Violation of Land Use Code- Observed outdoor junk storage including but not limited to wooden palets, kayaks and other items throughout the property; an empty chicken coop at north side; an enclosed structure in required side yard at south side. Unable to observe any animal on the property.",ZONING
24030,HOUSING / ZONING,"Inspected property, observed violation of Housing Building and Maintenance Code. Pr",HOUSING
24031,CITATION,"Violation of Land Use- Outdoor junk storage including but not limited to auto engines, tires, auto parts; the parking of six vehicles on the property, and vehicles parked in the required front yard.",ZONING
24032,HOUSING / ZONING,Open to entry; outdoor & vehicle storage.,VACANT BUILDING
