id,applicant_id,permit_type,decision_type,design_review_included,status
9045,,,,,
9046,,,,,
9047,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9048,,,II,,
9049,,,,,
9050,,VARIANCE,II,,
9051,,OTHER LAND USE ACTIONS,II,,
9052,,DESIGN REVIEW WITH EDG,II,Y,Initial Information Collected
9053,,,,,
9054,,,,,
9055,,OTHER LAND USE ACTIONS,II,,
9056,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9057,,,,,
9058,,"ADMIN DESIGN REVIEW WO/EDG, DESIGN REVIEW WITHOUT EDG, ENVIRONMENTALLY CRITICAL AREA",II,,
9059,,,II,,
9060,,"ENVIRONMENTALLY CRITICAL AREA, SHORELINE DEVELOPMENT",II,,
9061,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Initial Information Collected
9062,,LOT BOUNDARY ADJUSTMENT PLAT,,,
9063,,ADMINISTRATIVE CONDITIONAL USE,II,,
9064,,DESIGN REVIEW WITH EDG,II,Y,Initial Information Collected
9065,,DESIGN REVIEW WITH EDG,II,Y,Initial Information Collected
9066,,,II,,
9067,,ADMINISTRATIVE CONDITIONAL USE,II,,
9068,,ADMINISTRATIVE CONDITIONAL USE,II,,
9069,,,II,,
9070,,"OTHER LAND USE ACTIONS, SHORELINE DEVELOPMENT",II,,
9071,,ADMIN DESIGN REVIEW WO/EDG,II,,CANCELLED
9072,,,,,
9073,,,,,
9074,,"ENVIRONMENTALLY CRITICAL AREA, SHORELINE DEVELOPMENT",II,,
9075,,,II,,
9076,,,,,
9077,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9078,,"ENVIRONMENTALLY CRITICAL AREA, LOT BOUNDARY ADJUSTMENT PLAT",II,,
9079,,DESIGN REVIEW WITH EDG,II,,
9080,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9081,,STREAMLINED ADMIN DESIGN RVW,I,Y,Initial Information Collected
9082,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9083,,,II,,CANCELLED
9084,,DESIGN REVIEW WITH EDG,II,Y,Initial Information Collected
9085,,,,,
9086,,,II,,
9087,,,II,,
9088,,,II,N,Initial Information Collected
9089,,,,,
9090,,,II,,
9091,,SEPA THRESHOLD DETERMINATION,II,,
9092,,STREAMLINED ADMIN DESIGN RVW,I,Y,Initial Information Collected
9093,,DESIGN REVIEW WITH EDG,II,Y,Initial Information Collected
9094,,ADMINISTRATIVE CONDITIONAL USE,II,,
9095,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,,
9096,,,II,,CANCELLED
9097,,DESIGN REVIEW WITH EDG,II,,
9098,,,,,
9099,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9100,,,II,,
9101,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9102,,DESIGN REVIEW WITH EDG,II,Y,Initial Information Collected
9103,,,,,
9104,,"LOT BOUNDARY ADJUSTMENT PLAT, STREAMLINED ADMIN DESIGN RVW",II,,
9105,,"LOT BOUNDARY ADJUSTMENT PLAT, STREAMLINED ADMIN DESIGN RVW",II,,
9106,,SHORELINE DEVELOPMENT,II,,
9107,,,,,
9108,,ENVIRONMENTALLY CRITICAL AREA,II,,
9109,,,II,,
9110,,ADMINISTRATIVE CONDITIONAL USE,II,,
9111,,STREAMLINED ADMIN DESIGN RVW,I,Y,Initial Information Collected
9112,,LOT BOUNDARY ADJUSTMENT PLAT,I,,
9113,,SEPA THRESHOLD DETERMINATION,II,,
9114,,SHORT PLAT,II,,
9115,,,II,,CANCELLED
9116,,DESIGN REVIEW WITH EDG,II,Y,Initial Information Collected
9117,,,II,,
9118,,,II,,
9119,,ADMINISTRATIVE CONDITIONAL USE,II,,
9120,,VARIANCE,II,,
9121,,,,,
9122,,"DESIGN REVIEW WITH EDG, ENVIRONMENTALLY CRITICAL AREA",II,,
9123,,ADMINISTRATIVE CONDITIONAL USE,II,,
9124,,STREAMLINED ADMIN DESIGN RVW,I,Y,Initial Information Collected
9125,,,,,
9126,,SEPA THRESHOLD DETERMINATION,II,N,CANCELLED
9127,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9128,,,,,CANCELLED
9129,,,II,,
9130,,DESIGN REVIEW WITH EDG,II,Y,Initial Information Collected
9131,,,II,,
9132,,ADMINISTRATIVE CONDITIONAL USE,II,,CANCELLED
9133,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9134,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9135,,,,,
9136,,,,,
9137,,"COUNCIL ACTION, SEPA THRESHOLD DETERMINATION",IV,,
9138,,,II,,
9139,,DESIGN REVIEW WITH EDG,II,Y,Initial Information Collected
9140,,,II,,
9141,,,,,
9142,,SHORT PLAT,II,,
9143,,ADMINISTRATIVE CONDITIONAL USE,II,,
9144,,TEMPORARY LAND USE,II,N,CANCELLED
9145,,,,,
9146,,,,,
9147,,"ENVIRONMENTALLY CRITICAL AREA, OTHER LAND USE ACTIONS, VARIANCE",II,,
9148,,DESIGN REVIEW WITH EDG,II,,
9149,,ADMINISTRATIVE CONDITIONAL USE,II,N,Initial Information Collected
9150,,,II,,
9151,,SHORELINE VARIANCE,II,,
9152,,ENVIRONMENTALLY CRITICAL AREA,II,,
9153,,SEPA THRESHOLD DETERMINATION,II,,
9154,,STREAMLINED ADMIN DESIGN RVW,I,Y,CANCELLED
9155,,,II,N,CANCELLED
9156,,MPC DESIGN REVIEW WO/HIGHRISE,I,N,CANCELLED
9157,,,,,
9158,,SHORELINE DEVELOPMENT,II,N,CANCELLED
9159,,STREAMLINED ADMIN DESIGN RVW,II,,CANCELLED
9160,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9161,,OTHER LAND USE ACTIONS,II,,
9162,,OTHER LAND USE ACTIONS,II,,
9163,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9164,,SUBDIVISION PLAT,II,,
9165,,"ENVIRONMENTALLY CRITICAL AREA, STREAMLINED ADMIN DESIGN RVW",II,N,
9166,,,II,,
9167,,,,,
9168,,,,,
9169,,,,,
9170,,,,,
9171,,,,,
9172,,,,,
9173,,,II,,
9174,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9175,,,II,,
9176,,,,,
9177,,,I,,
9178,,,,,
9179,,,,,
9180,,,,,
9181,,OTHER LAND USE ACTIONS,II,,
9182,,,II,,
9183,,,II,,
9184,,,II,,
9185,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9186,,,II,,
9187,,,,,
9188,,,II,,
9189,,,,,
9190,,,II,N,Initial Information Collected
9191,,SHORT PLAT,II,,
9192,,,II,,
9193,,ADMINISTRATIVE CONDITIONAL USE,I,,
9194,,,II,,
9195,,SUBDIVISION PLAT,II,,
9196,,SHORT PLAT,II,N,Initial Information Collected
9197,,STREAMLINED ADMIN DESIGN RVW,I,Y,Initial Information Collected
9198,,,II,,
9199,,DESIGN REVIEW WITH EDG,II,,
9200,,STREAMLINED ADMIN DESIGN RVW,I,Y,Initial Information Collected
9201,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9202,,"ADMIN DESIGN REVIEW WITH EDG, STREAMLINED ADMIN DESIGN RVW",II,,
9203,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9204,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9205,,,,,
9206,,SEPA THRESHOLD DETERMINATION,II,,
9207,,,II,,CANCELLED
9208,,,II,,
9209,,,,,
9210,,,,,
9211,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9212,,LOT BOUNDARY ADJUSTMENT PLAT,,,
9213,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,,
9214,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9215,,,II,,
9216,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9217,,,II,,
9218,,,II,Y,
9219,,,II,,
9220,,,II,,
9221,,,II,,CANCELLED
9222,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9223,,,,,
9224,,,II,,
9225,,,,,
9226,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,Y,Application Accepted
9227,,OTHER LAND USE ACTIONS,,,CANCELLED
9228,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9229,,"ENVIRONMENTALLY CRITICAL AREA, VARIANCE",II,,
9230,,,II,,
9231,,SEPA THRESHOLD DETERMINATION,II,,
9232,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9233,,"SPECIAL EXCEPTION, SUBDIVISION PLAT, VARIANCE",II,,
9234,,,,,
9235,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9236,,,,,
9237,,,,,
9238,,,II,,
9239,,SHORT PLAT,II,,
9240,,DESIGN REVIEW WITH EDG,II,Y,Initial Information Collected
9241,,ADMIN DESIGN REVIEW WITH EDG,II,,
9242,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,,
9243,,"ADMIN DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,,
9244,,SEPA THRESHOLD DETERMINATION,II,,
9245,,,II,,
9246,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9247,,STREAMLINED ADMIN DESIGN RVW,II,,
9248,,LOT BOUNDARY ADJUSTMENT PLAT,I,,
9249,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9250,,,,,
9251,,,II,,
9252,,,,,
9253,,,II,,
9254,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION",II,N,Initial Information Collected
9255,,,,,
9256,,SEPA THRESHOLD DETERMINATION,,,
9257,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9258,,ENVIRONMENTALLY CRITICAL AREA,II,,
9259,,,II,,
9260,,,II,,CANCELLED
9261,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,N,Application Accepted
9262,,,II,,
9263,,,,,
9264,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9265,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9266,,SEPA THRESHOLD DETERMINATION,II,,
9267,,,,,
9268,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,,
9269,,,,,
9270,,,II,,
9271,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9272,,OTHER LAND USE ACTIONS,II,,CANCELLED
9273,,"ENVIRONMENTALLY CRITICAL AREA, OTHER LAND USE ACTIONS, SEPA THRESHOLD DETERMINATION",II,,CANCELLED
9274,,,,,
9275,,,II,,
9276,,,II,,
9277,,DESIGN REVIEW WITH EDG,II,Y,Initial Information Collected
9278,,,II,,
9279,,SHORT PLAT,II,,
9280,,,II,,
9281,,,II,,
9282,,,,,
9283,,,II,,
9284,,,II,,
9285,,,II,,
9286,,DESIGN REVIEW WITH EDG,II,Y,Initial Information Collected
9287,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9288,,DESIGN REVIEW WITH EDG,II,,
9289,,OTHER LAND USE ACTIONS,II,,
9290,,,II,,
9291,,,,,
9292,,ADMINISTRATIVE CONDITIONAL USE,II,,
9293,,"DESIGN REVIEW WITH EDG, LOT BOUNDARY ADJUSTMENT PLAT, SEPA THRESHOLD DETERMINATION",II,,
9294,,,II,,
9295,,,,,
9296,,,I,,
9297,,,,,
9298,,ADMINISTRATIVE CONDITIONAL USE,II,,
9299,,,II,,CANCELLED
9300,,,I,,
9301,,,II,,CANCELLED
9302,,,II,,
9303,,DESIGN REVIEW WITH EDG,II,Y,CANCELLED
9304,,DESIGN REVIEW WITH EDG,II,Y,Initial Information Collected
9305,,,II,,
9306,,SEPA THRESHOLD DETERMINATION,II,,
9307,,ENVIRONMENTALLY CRITICAL AREA,II,,
9308,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9309,,SEPA THRESHOLD DETERMINATION,II,,
9310,,,,,
9311,,,II,,
9312,,,,,
9313,,SEPA THRESHOLD DETERMINATION,II,,
9314,,,,,
9315,,,,,
9316,,"ENVIRONMENTALLY CRITICAL AREA, STREAMLINED ADMIN DESIGN RVW",II,,
9317,,,II,,CANCELLED
9318,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9319,,,II,,
9320,,,,,
9321,,,II,,
9322,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,,
9323,,,,,
9324,,,II,,
9325,,,II,,
9326,,,,,
9327,,DESIGN REVIEW WITH EDG,II,Y,Initial Information Collected
9328,,,,,
9329,,,,,
9330,,,II,,
9331,,,II,,
9332,,,I,,
9333,,,II,,
9334,,,,,CANCELLED
9335,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9336,,,,,
9337,,,II,,
9338,,,II,,
9339,,,I,,
9340,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Initial Information Collected
9341,,,,,
9342,,,II,,
9343,,"OTHER LAND USE ACTIONS, VARIANCE",II,,
9344,,,I,,
9345,,OTHER LAND USE ACTIONS,II,,
9346,,,II,,
9347,,,II,,
9348,,STREAMLINED ADMIN DESIGN RVW,I,Y,Initial Information Collected
9349,,STREAMLINED ADMIN DESIGN RVW,I,Y,Permit Closed
9350,,STREAMLINED ADMIN DESIGN RVW,I,Y,Permit Closed
9351,,,II,,
9352,,,,,
9353,,,II,,
9354,,,II,,
9355,,,II,,
9356,,,I,,
9357,,,II,,
9358,,,,,CANCELLED
9359,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9360,,,,,
9361,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9362,,DESIGN REVIEW WITH EDG,II,,
9363,,,II,N,Initial Information Collected
9364,,,,,
9365,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION",II,,CANCELLED
9366,,"ENVIRONMENTALLY CRITICAL AREA, VARIANCE",II,,
9367,,,,,
9368,,"ADMINISTRATIVE CONDITIONAL USE, OTHER LAND USE ACTIONS",II,,
9369,,ADMINISTRATIVE CONDITIONAL USE,II,,CANCELLED
9370,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9371,,,II,,
9372,,,,,
9373,,,II,,
9374,,,II,,
9375,,ENVIRONMENTALLY CRITICAL AREA,I,,
9376,,DESIGN REVIEW WITH EDG,II,Y,Initial Information Collected
9377,,SEPA THRESHOLD DETERMINATION,II,,
9378,,,II,,
9379,,,II,,
9380,,,II,,
9381,,,I,,CANCELLED
9382,,,II,,
9383,,SUBDIVISION PLAT,II,,CANCELLED
9384,,ADMINISTRATIVE CONDITIONAL USE,II,,
9385,,,,,CANCELLED
9386,,,II,,CANCELLED
9387,,SHORT PLAT,II,,
9388,,,II,N,Initial Information Collected
9389,,,,,CANCELLED
9390,,ADMINISTRATIVE CONDITIONAL USE,II,,
9391,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9392,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9393,,OTHER LAND USE ACTIONS,II,,
9394,,,,,CANCELLED
9395,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9396,,,,,CANCELLED
9397,,,II,,CANCELLED
9398,,SHORT PLAT,II,,
9399,,,II,,
9400,,SHORT PLAT,II,,CANCELLED
9401,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9402,,,,,
9403,,,II,,CANCELLED
9404,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION, SHORELINE CONDITIONAL USE",II,,
9405,,,,,CANCELLED
9406,,,,,CANCELLED
9407,,OTHER LAND USE ACTIONS,II,,CANCELLED
9408,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9409,,,II,,
9410,,,II,,
9411,,STREAMLINED ADMIN DESIGN RVW,I,Y,Permit Closed
9412,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION",,,CANCELLED
9413,,,,,CANCELLED
9414,,,II,,CANCELLED
9415,,,I,,CANCELLED
9416,,DESIGN REVIEW WITH EDG,II,Y,CANCELLED
9417,,,II,,
9418,,,,,
9419,,SEPA THRESHOLD DETERMINATION,II,,CANCELLED
9420,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9421,,DESIGN REVIEW WITH EDG,II,Y,CANCELLED
9422,,,,,CANCELLED
9423,,"DESIGN REVIEW WITH EDG, ENVIRONMENTALLY CRITICAL AREA, SHORELINE DEVELOPMENT",II,,
9424,,,II,,
9425,,,,,CANCELLED
9426,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,,CANCELLED
9427,,,II,,CANCELLED
9428,,,,,CANCELLED
9429,,ADMINISTRATIVE CONDITIONAL USE,II,N,CANCELLED
9430,,,II,,CANCELLED
9431,,,II,,
9432,,,,,CANCELLED
9433,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,N,Application Accepted
9434,,,,,CANCELLED
9435,,,II,,CANCELLED
9436,,,II,,
9437,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,,CANCELLED
9438,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,,
9439,,,II,,CANCELLED
9440,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,,
9441,,,II,,CANCELLED
9442,,,II,,CANCELLED
9443,,,,,CANCELLED
9444,,,II,,CANCELLED
9445,,,,,CANCELLED
9446,,ADMINISTRATIVE CONDITIONAL USE,II,,
9447,,,II,,
9448,,"ENVIRONMENTALLY CRITICAL AREA, OTHER LAND USE ACTIONS",II,,CANCELLED
9449,,,I,N,Initial Information Collected
9450,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
9451,,,,,
9452,,,II,,CANCELLED
9453,,,,,CANCELLED
9454,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT, SHORELINE VARIANCE",II,,CANCELLED
9455,,,II,,CANCELLED
9456,,,,,CANCELLED
9457,,,II,,CANCELLED
9458,,,II,,CANCELLED
9459,,ADMINISTRATIVE CONDITIONAL USE,II,,CANCELLED
9460,,"COUNCIL ACTION, DESIGN REVIEW WITH EDG, OTHER LAND USE ACTIONS",II,,CANCELLED
9461,,ADMINISTRATIVE CONDITIONAL USE,I,,
9462,,"ADMIN DESIGN REVIEW WO/EDG, DESIGN REVIEW WITHOUT EDG",II,,CANCELLED
9463,,STREAMLINED ADMIN DESIGN RVW,I,Y,Permit Closed
9464,,,,,CANCELLED
9465,,,,,
9466,,,II,,CANCELLED
9467,,,II,,CANCELLED
9468,,,II,,
9469,,,II,,CANCELLED
9470,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9471,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9472,,,,,CANCELLED
9473,,,,,CANCELLED
9474,,,,,
9475,,TEMPORARY LAND USE,II,,CANCELLED
9476,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9477,,,,,CANCELLED
9478,,,,,
9479,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9480,,,,,CANCELLED
9481,,,II,,CANCELLED
9482,,,,,CANCELLED
9483,,"ENVIRONMENTALLY CRITICAL AREA, OTHER LAND USE ACTIONS, SHORELINE DEVELOPMENT",II,N,Initial Information Collected
9484,,STREAMLINED ADMIN DESIGN RVW,II,Y,Permit Closed
9485,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,,CANCELLED
9486,,,II,,CANCELLED
9487,,STREAMLINED ADMIN DESIGN RVW,I,Y,Permit Closed
9488,,,II,,
9489,,ADMINISTRATIVE CONDITIONAL USE,I,N,CANCELLED
9490,,,II,,
9491,,,I,,CANCELLED
9492,,,II,,
9493,,DESIGN REVIEW WITH EDG,II,,CANCELLED
9494,,STREAMLINED ADMIN DESIGN RVW,II,Y,Permit Closed
9495,,"COUNCIL ACTION, DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,,
9496,,,II,,CANCELLED
9497,,,II,,
9498,,,II,,CANCELLED
9499,,DESIGN REVIEW WITH EDG,II,N,Initial Information Collected
9500,,DESIGN REVIEW WITH EDG,II,Y,Initial Information Collected
9501,,,,,CANCELLED
9502,,,II,,CANCELLED
9503,,,,,CANCELLED
9504,,,,,CANCELLED
9505,,,,,CANCELLED
9506,,"OTHER LAND USE ACTIONS, SEPA THRESHOLD DETERMINATION",II,,CANCELLED
9507,,STREAMLINED ADMIN DESIGN RVW,I,Y,Initial Information Collected
9508,,,II,,CANCELLED
9509,,,II,,CANCELLED
9510,,,,,CANCELLED
9511,,,II,,CANCELLED
9512,,,,,CANCELLED
9513,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9514,,SEPA THRESHOLD DETERMINATION,II,N,Initial Information Collected
9515,,,,,CANCELLED
9516,,SHORELINE DEVELOPMENT,II,,
9517,,,,,CANCELLED
9518,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9519,,,II,,CANCELLED
9520,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9521,,STREAMLINED ADMIN DESIGN RVW,II,,
9522,,,II,,CANCELLED
9523,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION",II,,CANCELLED
9524,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9525,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9526,,ADMIN DESIGN REVIEW WITH EDG,II,Y,CANCELLED
9527,,DESIGN REVIEW WITH EDG,II,,CANCELLED
9528,,TEMPORARY LAND USE,II,N,CANCELLED
9529,,,,,CANCELLED
9530,,DESIGN REVIEW WITH EDG,II,Y,CANCELLED
9531,,,II,,CANCELLED
9532,,SHORELINE DEVELOPMENT,II,,CANCELLED
9533,,,I,,CANCELLED
9534,,,IV,,CANCELLED
9535,,,,,
9536,,,,,CANCELLED
9537,,,II,N,CANCELLED
9538,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9539,,DESIGN REVIEW WITH EDG,II,Y,CANCELLED
9540,,,II,,CANCELLED
9541,,SEPA THRESHOLD DETERMINATION,II,N,CANCELLED
9542,,,,,CANCELLED
9543,,,II,,CANCELLED
9544,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Initial Information Collected
9545,,SEPA THRESHOLD DETERMINATION,II,N,CANCELLED
9546,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION",II,,CANCELLED
9547,,STREAMLINED ADMIN DESIGN RVW,I,Y,Initial Information Collected
9548,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9549,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",I,,
9550,,"DESIGN REVIEW WITH EDG, OTHER LAND USE ACTIONS",II,,CANCELLED
9551,,,,,CANCELLED
9552,,ENVIRONMENTALLY CRITICAL AREA,II,,
9553,,SEPA THRESHOLD DETERMINATION,II,,CANCELLED
9554,,,II,,CANCELLED
9555,,,II,,
9556,,,,,CANCELLED
9557,,,,,
9558,,"ENVIRONMENTALLY CRITICAL AREA, SHORT PLAT",II,N,Initial Information Collected
9559,,,,,CANCELLED
9560,,,,,CANCELLED
9561,,,II,,CANCELLED
9562,,,II,,CANCELLED
9563,,STREAMLINED ADMIN DESIGN RVW,II,,
9564,,DESIGN REVIEW WITH EDG,II,,CANCELLED
9565,,STREAMLINED ADMIN DESIGN RVW,II,,
9566,,STREAMLINED ADMIN DESIGN RVW,II,,
9567,,,II,,CANCELLED
9568,,"ADMIN DESIGN REVIEW WITH EDG, OTHER LAND USE ACTIONS, SEPA THRESHOLD DETERMINATION",II,,CANCELLED
9569,,,II,,CANCELLED
9570,,,II,,CANCELLED
9571,,,II,,CANCELLED
9572,,SHORT PLAT,II,,CANCELLED
9573,,ADMIN DESIGN REVIEW WITH EDG,II,Y,CANCELLED
9574,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9575,,,,,CANCELLED
9576,,,II,,CANCELLED
9577,,,II,,CANCELLED
9578,,,II,,
9579,,SEPA THRESHOLD DETERMINATION,,N,CANCELLED
9580,,ENVIRONMENTALLY CRITICAL AREA,II,,CANCELLED
9581,,,,,CANCELLED
9582,,,,,CANCELLED
9583,,STREAMLINED ADMIN DESIGN RVW,I,Y,CANCELLED
9584,,,,,CANCELLED
9585,,,II,,CANCELLED
9586,,,,,CANCELLED
9587,,,,,CANCELLED
9588,,,,,CANCELLED
9589,,ADMINISTRATIVE CONDITIONAL USE,II,,CANCELLED
9590,,,,,CANCELLED
9591,,,,,CANCELLED
9592,,"OTHER LAND USE ACTIONS, SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,,CANCELLED
9593,,STREAMLINED ADMIN DESIGN RVW,II,,CANCELLED
9594,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9595,,"DESIGN REVIEW WITH EDG, ENVIRONMENTALLY CRITICAL AREA",II,,CANCELLED
9596,,,,,CANCELLED
9597,,,II,,CANCELLED
9598,,OTHER LAND USE ACTIONS,II,,CANCELLED
9599,,,II,N,CANCELLED
9600,,STREAMLINED ADMIN DESIGN RVW,II,Y,Initial Information Collected
9601,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9602,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9603,,,,,CANCELLED
9604,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9605,,,II,,CANCELLED
9606,,,II,,
9607,,,,,CANCELLED
9608,,,,,CANCELLED
9609,,OTHER LAND USE ACTIONS,II,,CANCELLED
9610,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,,CANCELLED
9611,,STREAMLINED ADMIN DESIGN RVW,I,Y,Permit Closed
9612,,"DESIGN REVIEW WITHOUT EDG, OTHER LAND USE ACTIONS",II,,CANCELLED
9613,,,II,,
9614,,"DESIGN REVIEW WITHOUT EDG, SEPA THRESHOLD DETERMINATION",II,,CANCELLED
9615,,"ENVIRONMENTALLY CRITICAL AREA, VARIANCE",II,,
9616,,,,,CANCELLED
9617,,,II,,CANCELLED
9618,,,,,
9619,,,II,,CANCELLED
9620,,STREAMLINED ADMIN DESIGN RVW,I,Y,Streamlined ADR Completed
9621,,,II,,CANCELLED
9622,,STREAMLINED ADMIN DESIGN RVW,I,Y,Permit Closed
9623,,SEPA THRESHOLD DETERMINATION,II,,CANCELLED
9624,,STREAMLINED ADMIN DESIGN RVW,I,Y,CANCELLED
9625,,DESIGN REVIEW WITH EDG,II,Y,CANCELLED
